Model,TBS1052C
Firmware Version,v2015-08-04-prequal4ch70_v1.3

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.01
Sample Interval,8e-05
Filter Frequency,2e+08
Record Length,2000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.05
Label,
TIME,CH1
-7.296e-02,-0.01
-7.288e-02,-0.002
-7.280e-02,-0.006
-7.272e-02,-0.006
-7.264e-02,-0.008
-7.256e-02,0
-7.248e-02,0.006
-7.240e-02,0.008
-7.232e-02,0.006
-7.224e-02,0.006
-7.216e-02,0.014
-7.208e-02,0.016
-7.200e-02,0.016
-7.192e-02,0.012
-7.184e-02,0.016
-7.176e-02,0.022
-7.168e-02,0.026
-7.160e-02,0.026
-7.152e-02,0.022
-7.144e-02,0.026
-7.136e-02,0.032
-7.128e-02,0.034
-7.120e-02,0.03
-7.112e-02,0.03
-7.104e-02,0.036
-7.096e-02,0.038
-7.088e-02,0.038
-7.080e-02,0.032
-7.072e-02,0.038
-7.064e-02,0.042
-7.056e-02,0.038
-7.048e-02,0.034
-7.040e-02,0.04
-7.032e-02,0.042
-7.024e-02,0.042
-7.016e-02,0.036
-7.008e-02,0.04
-7.000e-02,0.044
-6.992e-02,0.04
-6.984e-02,0.036
-6.976e-02,0.04
-6.968e-02,0.04
-6.960e-02,0.038
-6.952e-02,0.032
-6.944e-02,0.036
-6.936e-02,0.034
-6.928e-02,0.036
-6.920e-02,0.034
-6.912e-02,0.03
-6.904e-02,0.024
-6.896e-02,0.026
-6.888e-02,0.028
-6.880e-02,0.028
-6.872e-02,0.026
-6.864e-02,0.022
-6.856e-02,0.018
-6.848e-02,0.016
-6.840e-02,0.018
-6.832e-02,0.018
-6.824e-02,0.016
-6.816e-02,0.018
-6.808e-02,0.008
-6.800e-02,0.01
-6.792e-02,0.008
-6.784e-02,0.002
-6.776e-02,0.002
-6.768e-02,0.004
-6.760e-02,0
-6.752e-02,-0.006
-6.744e-02,0
-6.736e-02,-0.004
-6.728e-02,-0.01
-6.720e-02,-0.008
-6.712e-02,-0.006
-6.704e-02,-0.014
-6.696e-02,-0.012
-6.688e-02,-0.014
-6.680e-02,-0.018
-6.672e-02,-0.022
-6.664e-02,-0.024
-6.656e-02,-0.022
-6.648e-02,-0.02
-6.640e-02,-0.022
-6.632e-02,-0.022
-6.624e-02,-0.026
-6.616e-02,-0.024
-6.608e-02,-0.03
-6.600e-02,-0.032
-6.592e-02,-0.034
-6.584e-02,-0.032
-6.576e-02,-0.03
-6.568e-02,-0.03
-6.560e-02,-0.028
-6.552e-02,-0.028
-6.544e-02,-0.032
-6.536e-02,-0.038
-6.528e-02,-0.038
-6.520e-02,-0.032
-6.512e-02,-0.03
-6.504e-02,-0.03
-6.496e-02,-0.032
-6.488e-02,-0.036
-6.480e-02,-0.036
-6.472e-02,-0.038
-6.464e-02,-0.038
-6.456e-02,-0.034
-6.448e-02,-0.03
-6.440e-02,-0.028
-6.432e-02,-0.03
-6.424e-02,-0.03
-6.416e-02,-0.028
-6.408e-02,-0.028
-6.400e-02,-0.028
-6.392e-02,-0.028
-6.384e-02,-0.032
-6.376e-02,-0.032
-6.368e-02,-0.03
-6.360e-02,-0.024
-6.352e-02,-0.02
-6.344e-02,-0.014
-6.336e-02,-0.01
-6.328e-02,-0.016
-6.320e-02,-0.018
-6.312e-02,-0.012
-6.304e-02,-0.008
-6.296e-02,-0.008
-6.288e-02,-0.01
-6.280e-02,-0.01
-6.272e-02,-0.002
-6.264e-02,0.002
-6.256e-02,0
-6.248e-02,0
-6.240e-02,0
-6.232e-02,0.006
-6.224e-02,0.012
-6.216e-02,0.01
-6.208e-02,0.008
-6.200e-02,0.014
-6.192e-02,0.018
-6.184e-02,0.018
-6.176e-02,0.014
-6.168e-02,0.022
-6.160e-02,0.026
-6.152e-02,0.028
-6.144e-02,0.024
-6.136e-02,0.03
-6.128e-02,0.034
-6.120e-02,0.032
-6.112e-02,0.03
-6.104e-02,0.034
-6.096e-02,0.04
-6.088e-02,0.038
-6.080e-02,0.032
-6.072e-02,0.038
-6.064e-02,0.04
-6.056e-02,0.038
-6.048e-02,0.034
-6.040e-02,0.038
-6.032e-02,0.042
-6.024e-02,0.038
-6.016e-02,0.038
-6.008e-02,0.04
-6.000e-02,0.038
-5.992e-02,0.038
-5.984e-02,0.036
-5.976e-02,0.03
-5.968e-02,0.032
-5.960e-02,0.036
-5.952e-02,0.04
-5.944e-02,0.04
-5.936e-02,0.036
-5.928e-02,0.034
-5.920e-02,0.03
-5.912e-02,0.026
-5.904e-02,0.028
-5.896e-02,0.028
-5.888e-02,0.028
-5.880e-02,0.028
-5.872e-02,0.028
-5.864e-02,0.026
-5.856e-02,0.02
-5.848e-02,0.018
-5.840e-02,0.02
-5.832e-02,0.02
-5.824e-02,0.018
-5.816e-02,0.014
-5.808e-02,0.01
-5.800e-02,0.008
-5.792e-02,0.002
-5.784e-02,0.006
-5.776e-02,0.008
-5.768e-02,0.006
-5.760e-02,0.002
-5.752e-02,-0.002
-5.744e-02,-0.002
-5.736e-02,-0.004
-5.728e-02,-0.008
-5.720e-02,-0.012
-5.712e-02,-0.008
-5.704e-02,-0.01
-5.696e-02,-0.016
-5.688e-02,-0.014
-5.680e-02,-0.014
-5.672e-02,-0.02
-5.664e-02,-0.024
-5.656e-02,-0.018
-5.648e-02,-0.022
-5.640e-02,-0.026
-5.632e-02,-0.024
-5.624e-02,-0.028
-5.616e-02,-0.032
-5.608e-02,-0.032
-5.600e-02,-0.028
-5.592e-02,-0.03
-5.584e-02,-0.03
-5.576e-02,-0.03
-5.568e-02,-0.03
-5.560e-02,-0.036
-5.552e-02,-0.042
-5.544e-02,-0.036
-5.536e-02,-0.034
-5.528e-02,-0.032
-5.520e-02,-0.03
-5.512e-02,-0.03
-5.504e-02,-0.034
-5.496e-02,-0.042
-5.488e-02,-0.036
-5.480e-02,-0.032
-5.472e-02,-0.03
-5.464e-02,-0.032
-5.456e-02,-0.032
-5.448e-02,-0.038
-5.440e-02,-0.036
-5.432e-02,-0.03
-5.424e-02,-0.028
-5.416e-02,-0.028
-5.408e-02,-0.032
-5.400e-02,-0.034
-5.392e-02,-0.028
-5.384e-02,-0.024
-5.376e-02,-0.028
-5.368e-02,-0.03
-5.360e-02,-0.022
-5.352e-02,-0.018
-5.344e-02,-0.02
-5.336e-02,-0.022
-5.328e-02,-0.016
-5.320e-02,-0.012
-5.312e-02,-0.012
-5.304e-02,-0.016
-5.296e-02,-0.01
-5.288e-02,-0.008
-5.280e-02,-0.004
-5.272e-02,-0.004
-5.264e-02,-0.008
-5.256e-02,-0.004
-5.248e-02,0.004
-5.240e-02,0.008
-5.232e-02,0.008
-5.224e-02,0.006
-5.216e-02,0.004
-5.208e-02,0.01
-5.200e-02,0.016
-5.192e-02,0.018
-5.184e-02,0.02
-5.176e-02,0.016
-5.168e-02,0.02
-5.160e-02,0.024
-5.152e-02,0.028
-5.144e-02,0.026
-5.136e-02,0.026
-5.128e-02,0.03
-5.120e-02,0.034
-5.112e-02,0.034
-5.104e-02,0.028
-5.096e-02,0.034
-5.088e-02,0.038
-5.080e-02,0.038
-5.072e-02,0.036
-5.064e-02,0.036
-5.056e-02,0.04
-5.048e-02,0.04
-5.040e-02,0.036
-5.032e-02,0.032
-5.024e-02,0.04
-5.016e-02,0.04
-5.008e-02,0.038
-5.000e-02,0.036
-4.992e-02,0.04
-4.984e-02,0.04
-4.976e-02,0.038
-4.968e-02,0.032
-4.960e-02,0.038
-4.952e-02,0.04
-4.944e-02,0.032
-4.936e-02,0.034
-4.928e-02,0.034
-4.920e-02,0.032
-4.912e-02,0.026
-4.904e-02,0.024
-4.896e-02,0.024
-4.888e-02,0.022
-4.880e-02,0.022
-4.872e-02,0.022
-4.864e-02,0.024
-4.856e-02,0.024
-4.848e-02,0.02
-4.840e-02,0.018
-4.832e-02,0.016
-4.824e-02,0.016
-4.816e-02,0.012
-4.808e-02,0.01
-4.800e-02,0.01
-4.792e-02,0.01
-4.784e-02,0.006
-4.776e-02,0
-4.768e-02,0.004
-4.760e-02,0.004
-4.752e-02,0.002
-4.744e-02,-0.006
-4.736e-02,-0.008
-4.728e-02,-0.004
-4.720e-02,-0.006
-4.712e-02,-0.01
-4.704e-02,-0.016
-4.696e-02,-0.016
-4.688e-02,-0.012
-4.680e-02,-0.012
-4.672e-02,-0.018
-4.664e-02,-0.024
-4.656e-02,-0.02
-4.648e-02,-0.018
-4.640e-02,-0.022
-4.632e-02,-0.026
-4.624e-02,-0.024
-4.616e-02,-0.022
-4.608e-02,-0.026
-4.600e-02,-0.03
-4.592e-02,-0.03
-4.584e-02,-0.026
-4.576e-02,-0.028
-4.568e-02,-0.032
-4.560e-02,-0.034
-4.552e-02,-0.03
-4.544e-02,-0.03
-4.536e-02,-0.034
-4.528e-02,-0.036
-4.520e-02,-0.03
-4.512e-02,-0.028
-4.504e-02,-0.032
-4.496e-02,-0.04
-4.488e-02,-0.032
-4.480e-02,-0.032
-4.472e-02,-0.034
-4.464e-02,-0.034
-4.456e-02,-0.036
-4.448e-02,-0.034
-4.440e-02,-0.03
-4.432e-02,-0.03
-4.424e-02,-0.03
-4.416e-02,-0.032
-4.408e-02,-0.034
-4.400e-02,-0.028
-4.392e-02,-0.024
-4.384e-02,-0.024
-4.376e-02,-0.028
-4.368e-02,-0.03
-4.360e-02,-0.022
-4.352e-02,-0.018
-4.344e-02,-0.018
-4.336e-02,-0.022
-4.328e-02,-0.018
-4.320e-02,-0.012
-4.312e-02,-0.012
-4.304e-02,-0.016
-4.296e-02,-0.012
-4.288e-02,-0.004
-4.280e-02,-0.002
-4.272e-02,-0.004
-4.264e-02,-0.002
-4.256e-02,0.002
-4.248e-02,0.006
-4.240e-02,0.002
-4.232e-02,0.004
-4.224e-02,0.01
-4.216e-02,0.01
-4.208e-02,0.006
-4.200e-02,0.014
-4.192e-02,0.018
-4.184e-02,0.016
