  Hz	 Vrms	dBV	deg
100.0	0.481	-6.378	-1.9
120.0	0.485	-6.314	-2.5
140.0	0.483	-6.345	-3.0
160.0	0.481	-6.370	-3.2
180.0	0.484	-6.331	-3.8
200.0	0.484	-6.321	-4.0
220.0	0.483	-6.348	-4.2
240.0	0.482	-6.363	-4.6
260.0	0.483	-6.334	-4.9
280.0	0.481	-6.370	-5.2
300.0	0.482	-6.355	-5.6
320.0	0.483	-6.349	-6.1
340.0	0.481	-6.381	-6.3
360.0	0.482	-6.359	-6.8
380.0	0.482	-6.368	-7.2
400.0	0.481	-6.373	-7.4
420.0	0.481	-6.385	-7.7
440.0	0.481	-6.385	-8.1
460.0	0.481	-6.385	-8.6
480.0	0.479	-6.406	-9.1
500.0	0.476	-6.477	-9.1
520.0	0.479	-6.414	-9.5
540.0	0.482	-6.368	-9.7
560.0	0.479	-6.418	-10.1
580.0	0.477	-6.455	-10.6
600.0	0.480	-6.398	-10.8
620.0	0.478	-6.440	-11.2
640.0	0.474	-6.499	-11.4
660.0	0.471	-6.559	-11.8
680.0	0.473	-6.520	-11.9
700.0	0.473	-6.532	-12.3
720.0	0.475	-6.485	-12.8
740.0	0.472	-6.540	-13.1
760.0	0.470	-6.571	-13.4
780.0	0.466	-6.657	-13.9
800.0	0.467	-6.627	-14.1
820.0	0.468	-6.622	-14.5
840.0	0.464	-6.695	-14.7
860.0	0.463	-6.700	-15.1
880.0	0.463	-6.703	-15.5
900.0	0.461	-6.750	-15.6
920.0	0.461	-6.744	-16.0
940.0	0.460	-6.765	-16.4
960.0	0.457	-6.814	-16.7
980.0	0.457	-6.824	-17.1
1000.0	0.455	-6.870	-17.3
1020.0	0.453	-6.890	-17.7
1220.0	0.441	-7.129	-20.8
1420.0	0.429	-7.367	-23.6
1620.0	0.418	-7.602	-26.5
1820.0	0.406	-7.858	-29.2
2020.0	0.395	-8.078	-31.5
2220.0	0.379	-8.454	-33.8
2420.0	0.363	-8.815	-36.1
2620.0	0.350	-9.141	-38.3
2820.0	0.338	-9.435	-40.1
3020.0	0.330	-9.648	-42.0
3220.0	0.319	-9.955	-43.8
3420.0	0.310	-10.199	-45.7
3620.0	0.300	-10.485	-47.1
3820.0	0.289	-10.792	-48.6
4020.0	0.277	-11.174	-50.0
4220.0	0.266	-11.520	-51.4
4420.0	0.258	-11.803	-52.4
4620.0	0.251	-12.037	-53.6
4820.0	0.245	-12.240	-55.1
5020.0	0.242	-12.347	-55.6
5220.0	0.234	-12.631	-56.5
5420.0	0.226	-12.935	-57.2
5620.0	0.221	-13.114	-58.7
5820.0	0.214	-13.411	-59.3
6020.0	0.212	-13.485	-60.2
6220.0	0.204	-13.836	-61.0
6420.0	0.202	-13.877	-62.1
6620.0	0.198	-14.071	-62.9
6820.0	0.192	-14.340	-63.5
7020.0	0.187	-14.580	-64.0
7220.0	0.181	-14.824	-64.7
7420.0	0.178	-14.998	-65.3
7620.0	0.175	-15.152	-66.0
7820.0	0.172	-15.302	-66.3
8020.0	0.167	-15.521	-66.9
8220.0	0.163	-15.759	-67.3
8420.0	0.159	-15.970	-68.1
8620.0	0.156	-16.144	-68.4
8820.0	0.153	-16.279	-69.0
9020.0	0.151	-16.436	-69.4
9220.0	0.147	-16.634	-69.6
9420.0	0.145	-16.779	-70.0
9620.0	0.143	-16.912	-70.5
9820.0	0.139	-17.142	-70.7
10020	0.136	-17.333	-71.0
12020	0.115	-18.755	-74.1
14020	0.099	-20.074	-76.0
16020	0.088	-21.143	-77.5
18020	0.077	-22.300	-78.7
20020	0.070	-23.060	-79.4
22020	0.064	-23.851	-80.1
24020	0.058	-24.722	-80.9
26020	0.054	-25.358	-81.4
28020	0.050	-26.038	-81.7
30020	0.047	-26.615	-82.1
32020	0.044	-27.101	-82.4
34020	0.041	-27.673	-82.6
36020	0.039	-28.182	-82.9
38020	0.037	-28.625	-83.0
40020	0.035	-29.022	-83.2
42020	0.033	-29.525	-83.5
44020	0.032	-29.944	-83.4
46020	0.031	-30.299	-83.8
48020	0.029	-30.683	-83.4
50020	0.028	-30.943	-83.5
52020	0.027	-31.242	-83.7
54020	0.026	-31.556	-83.5
56020	0.025	-31.934	-83.6
58020	0.024	-32.254	-83.5
60020	0.024	-32.576	-83.8
62020	0.023	-32.910	-83.6
64020	0.022	-33.162	-83.7
66020	0.021	-33.412	-83.6
68020	0.021	-33.703	-83.6
70020	0.020	-33.970	-83.6
72020	0.021	-33.653	-83.4
74020	0.020	-33.891	-83.4
76020	0.020	-34.128	-83.2
78020	0.019	-34.366	-83.3
80020	0.019	-34.512	-83.2
82020	0.018	-34.769	-82.9
84020	0.018	-34.965	-83.2
86020	0.017	-35.201	-83.1
88020	0.017	-35.367	-82.9
90020	0.017	-35.558	-83.0
92020	0.016	-35.720	-83.1
94020	0.016	-35.886	-83.0
96020	0.016	-36.115	-82.9
98020	0.015	-36.269	-82.9
100020	0.015	-36.439	-82.6
