  Hz	 Vrms	dBV	deg
1000.0	0.147	-16.646	69.3
1100.0	0.163	-15.789	67.2
1200.0	0.181	-14.884	65.2
1300.0	0.198	-14.084	63.4
1400.0	0.210	-13.588	61.6
1500.0	0.222	-13.077	59.3
1600.0	0.233	-12.666	57.4
1700.0	0.245	-12.240	55.5
1800.0	0.260	-11.715	53.1
1900.0	0.276	-11.188	50.7
2000.0	0.289	-10.801	48.7
2100.0	0.298	-10.550	46.7
2200.0	0.309	-10.212	44.3
2300.0	0.319	-9.958	42.1
2400.0	0.327	-9.740	39.7
2500.0	0.338	-9.451	37.4
2600.0	0.349	-9.175	34.7
2700.0	0.358	-8.945	32.3
2800.0	0.368	-8.702	29.8
2900.0	0.376	-8.509	27.6
3000.0	0.381	-8.404	24.8
3100.0	0.387	-8.262	22.4
3200.0	0.394	-8.106	19.9
3300.0	0.400	-7.978	17.8
3400.0	0.403	-7.911	15.1
3500.0	0.406	-7.846	12.8
3600.0	0.409	-7.794	10.4
3700.0	0.410	-7.770	8.1
3800.0	0.414	-7.690	5.7
3900.0	0.414	-7.686	3.4
4000.0	0.416	-7.637	1.2
4100.0	0.416	-7.648	-0.7
4200.0	0.415	-7.665	-2.9
4300.0	0.415	-7.664	-5.1
4400.0	0.414	-7.671	-6.8
4500.0	0.413	-7.698	-9.1
4600.0	0.411	-7.743	-10.9
4700.0	0.410	-7.758	-12.7
4800.0	0.407	-7.831	-14.4
4900.0	0.399	-8.003	-16.2
5000.0	0.399	-7.996	-17.9
5100.0	0.402	-7.942	-19.1
5200.0	0.398	-8.034	-20.6
5300.0	0.396	-8.060	-22.1
5400.0	0.387	-8.268	-23.7
5500.0	0.387	-8.263	-24.7
5600.0	0.387	-8.256	-26.5
5700.0	0.383	-8.359	-27.9
5800.0	0.377	-8.494	-29.0
5900.0	0.377	-8.505	-30.0
6000.0	0.372	-8.613	-31.0
6100.0	0.365	-8.778	-32.5
6200.0	0.358	-8.946	-33.5
6300.0	0.357	-8.964	-34.6
6400.0	0.350	-9.133	-35.5
6500.0	0.346	-9.251	-36.5
6600.0	0.342	-9.346	-37.7
6700.0	0.339	-9.410	-38.4
6800.0	0.337	-9.471	-39.6
6900.0	0.334	-9.554	-40.4
7000.0	0.329	-9.683	-41.3
7100.0	0.327	-9.720	-42.0
7200.0	0.326	-9.759	-42.7
7300.0	0.322	-9.868	-43.4
7400.0	0.318	-9.975	-44.1
7500.0	0.316	-10.033	-44.7
7600.0	0.312	-10.143	-45.5
7700.0	0.310	-10.196	-46.2
7800.0	0.307	-10.269	-46.9
7900.0	0.303	-10.399	-47.4
8000.0	0.299	-10.505	-48.1
8100.0	0.298	-10.531	-48.8
8200.0	0.295	-10.622	-49.5
8300.0	0.291	-10.740	-50.0
8400.0	0.290	-10.771	-50.4
8500.0	0.286	-10.895	-51.0
8600.0	0.283	-10.975	-51.6
8700.0	0.278	-11.138	-51.9
8800.0	0.276	-11.197	-52.5
8900.0	0.273	-11.303	-53.1
