  Hz	 Vrms	dBV	deg
1000.0	0.244	-12.278	-5.0
1100.0	0.249	-12.098	-5.8
1200.0	0.256	-11.872	-6.7
1300.0	0.261	-11.678	-7.1
1400.0	0.270	-11.387	-7.7
1500.0	0.277	-11.167	-8.6
1600.0	0.283	-10.984	-9.2
1700.0	0.290	-10.781	-10.0
1800.0	0.296	-10.603	-10.9
1900.0	0.302	-10.433	-11.8
2000.0	0.308	-10.250	-12.8
2100.0	0.314	-10.090	-13.7
2200.0	0.322	-9.873	-15.0
2300.0	0.330	-9.637	-16.2
2400.0	0.339	-9.421	-17.5
2500.0	0.348	-9.181	-18.9
2600.0	0.358	-8.938	-20.7
2700.0	0.371	-8.643	-22.9
2800.0	0.383	-8.350	-25.1
2900.0	0.395	-8.081	-27.9
3000.0	0.409	-7.789	-31.0
3100.0	0.423	-7.487	-34.9
3200.0	0.438	-7.192	-39.2
3300.0	0.449	-6.979	-44.3
3400.0	0.459	-6.781	-50.3
3500.0	0.469	-6.601	-57.6
3600.0	0.473	-6.515	-65.7
3700.0	0.474	-6.509	-74.8
3800.0	0.465	-6.664	-84.6
3900.0	0.454	-6.877	-94.0
4000.0	0.439	-7.176	-103.0
4100.0	0.417	-7.610	-111.3
4200.0	0.396	-8.065	-118.5
4300.0	0.372	-8.598	-124.7
4400.0	0.353	-9.076	-129.8
4500.0	0.329	-9.668	-134.5
4600.0	0.310	-10.192	-138.3
4700.0	0.291	-10.753	-141.6
4800.0	0.273	-11.290	-144.3
4900.0	0.258	-11.780	-146.5
5000.0	0.242	-12.330	-148.6
5100.0	0.228	-12.861	-150.3
5200.0	0.216	-13.318	-152.0
5300.0	0.206	-13.760	-153.3
5400.0	0.193	-14.292	-154.8
5500.0	0.183	-14.778	-156.0
5600.0	0.177	-15.083	-157.1
5700.0	0.168	-15.533	-158.0
5800.0	0.157	-16.097	-158.8
5900.0	0.150	-16.491	-159.4
6000.0	0.143	-16.909	-160.1
6100.0	0.137	-17.272	-160.6
6200.0	0.131	-17.698	-161.3
6300.0	0.127	-17.931	-162.5
6400.0	0.121	-18.397	-162.5
6500.0	0.115	-18.786	-163.0
6600.0	0.110	-19.162	-163.1
6700.0	0.107	-19.469	-163.7
6800.0	0.102	-19.815	-163.8
6900.0	0.100	-20.062	-164.6
7000.0	0.096	-20.366	-164.6
7100.0	0.095	-20.505	-165.0
7200.0	0.091	-20.859	-165.3
7300.0	0.089	-21.044	-165.9
7400.0	0.086	-21.317	-166.5
7500.0	0.084	-21.530	-166.5
