  Hz	 Vrms	dBV	deg
100.0	0.429	-7.350	-1.3
110.0	0.430	-7.333	-1.6
120.0	0.431	-7.305	-1.6
130.0	0.428	-7.368	-1.8
140.0	0.429	-7.351	-1.9
150.0	0.429	-7.350	-2.2
160.0	0.429	-7.352	-2.3
170.0	0.429	-7.342	-2.4
180.0	0.430	-7.334	-2.5
190.0	0.429	-7.350	-2.3
200.0	0.429	-7.341	-2.5
210.0	0.427	-7.401	-2.5
220.0	0.430	-7.325	-2.6
230.0	0.429	-7.346	-2.8
240.0	0.422	-7.523	-3.0
250.0	0.425	-7.463	-3.2
260.0	0.423	-7.495	-3.1
270.0	0.425	-7.453	-3.4
280.0	0.431	-7.315	-3.3
290.0	0.429	-7.357	-3.3
300.0	0.427	-7.384	-3.5
310.0	0.430	-7.338	-3.6
320.0	0.429	-7.347	-3.8
330.0	0.428	-7.378	-3.8
340.0	0.431	-7.307	-3.9
350.0	0.430	-7.337	-4.1
360.0	0.430	-7.335	-4.1
370.0	0.431	-7.308	-4.4
380.0	0.430	-7.338	-4.5
390.0	0.429	-7.341	-4.5
400.0	0.431	-7.313	-4.5
410.0	0.429	-7.344	-4.7
420.0	0.429	-7.355	-4.8
430.0	0.428	-7.363	-5.4
440.0	0.426	-7.402	-4.9
450.0	0.428	-7.376	-5.4
460.0	0.429	-7.354	-5.6
470.0	0.429	-7.359	-5.7
480.0	0.429	-7.346	-5.8
490.0	0.429	-7.348	-6.1
500.0	0.428	-7.363	-6.0
510.0	0.428	-7.363	-6.1
520.0	0.430	-7.325	-6.0
530.0	0.427	-7.387	-6.1
540.0	0.432	-7.283	-6.1
550.0	0.429	-7.350	-6.3
560.0	0.425	-7.423	-6.5
570.0	0.431	-7.302	-6.9
580.0	0.430	-7.340	-7.2
590.0	0.427	-7.384	-6.9
600.0	0.425	-7.439	-7.2
610.0	0.427	-7.392	-6.9
620.0	0.425	-7.429	-7.1
630.0	0.427	-7.400	-7.5
640.0	0.426	-7.417	-7.4
650.0	0.427	-7.389	-7.7
660.0	0.430	-7.323	-7.8
670.0	0.429	-7.360	-8.0
680.0	0.425	-7.435	-7.7
690.0	0.425	-7.435	-8.1
700.0	0.426	-7.405	-8.3
710.0	0.424	-7.448	-8.5
720.0	0.429	-7.349	-8.5
730.0	0.425	-7.432	-8.5
740.0	0.426	-7.413	-9.0
750.0	0.423	-7.472	-8.9
760.0	0.426	-7.414	-9.0
770.0	0.428	-7.365	-9.1
780.0	0.429	-7.352	-9.4
790.0	0.427	-7.389	-9.6
800.0	0.425	-7.433	-9.4
810.0	0.430	-7.334	-9.6
820.0	0.425	-7.427	-9.9
830.0	0.424	-7.457	-9.8
840.0	0.427	-7.388	-10.0
850.0	0.425	-7.431	-10.2
860.0	0.426	-7.410	-10.3
870.0	0.424	-7.450	-10.3
880.0	0.426	-7.417	-10.5
890.0	0.329	-9.657	-10.6
900.0	0.328	-9.696	-10.8
910.0	0.424	-7.446	-10.9
920.0	0.425	-7.429	-11.1
930.0	0.426	-7.412	-11.3
940.0	0.422	-7.486	-11.2
950.0	0.424	-7.444	-11.4
960.0	0.425	-7.427	-11.5
970.0	0.422	-7.493	-11.7
980.0	0.423	-7.476	-11.8
990.0	0.425	-7.428	-11.9
1000.0	0.421	-7.504	-12.0
1010.0	0.422	-7.492	-12.1
1110.0	0.422	-7.497	-13.4
1210.0	0.421	-7.515	-14.8
1310.0	0.417	-7.598	-16.4
1410.0	0.416	-7.624	-17.8
1510.0	0.414	-7.657	-19.3
1610.0	0.410	-7.748	-20.9
1710.0	0.406	-7.838	-22.4
1810.0	0.401	-7.929	-24.1
1910.0	0.396	-8.043	-25.9
2010.0	0.389	-8.198	-27.3
2110.0	0.386	-8.268	-29.4
2210.0	0.377	-8.470	-31.3
2310.0	0.371	-8.623	-33.7
2410.0	0.357	-8.935	-35.8
2510.0	0.350	-9.124	-38.1
2610.0	0.337	-9.455	-40.7
2710.0	0.324	-9.788	-43.2
2810.0	0.309	-10.190	-45.7
2910.0	0.293	-10.669	-48.5
3010.0	0.275	-11.223	-51.3
3110.0	0.254	-11.886	-53.9
3210.0	0.233	-12.671	-56.9
3310.0	0.209	-13.596	-59.5
3410.0	0.184	-14.708	-62.0
3510.0	0.158	-16.051	-64.0
3610.0	0.129	-17.788	-65.6
3710.0	0.099	-20.089	-66.1
3810.0	0.070	-23.050	-64.2
3910.0	0.043	-27.256	-54.2
4010.0	0.025	-31.909	-21.8
4110.0	0.030	-30.350	37.5
4210.0	0.052	-25.697	57.5
4310.0	0.076	-22.334	64.2
4410.0	0.101	-19.926	65.1
4510.0	0.124	-18.118	64.8
4610.0	0.146	-16.714	63.8
4710.0	0.166	-15.589	62.4
4810.0	0.186	-14.631	60.7
4910.0	0.203	-13.868	59.1
5010.0	0.216	-13.302	57.6
5110.0	0.233	-12.665	56.1
5210.0	0.244	-12.237	54.4
5310.0	0.256	-11.821	52.6
5410.0	0.267	-11.482	51.3
5510.0	0.278	-11.105	49.5
5610.0	0.285	-10.904	48.6
5710.0	0.296	-10.572	47.0
5810.0	0.303	-10.361	45.5
5910.0	0.311	-10.142	44.5
6010.0	0.320	-9.892	43.2
6110.0	0.324	-9.779	42.1
6210.0	0.329	-9.666	41.0
6310.0	0.337	-9.453	40.0
6410.0	0.340	-9.367	39.1
6510.0	0.342	-9.315	38.2
6610.0	0.351	-9.101	37.1
6710.0	0.352	-9.061	36.5
6810.0	0.358	-8.911	35.4
6910.0	0.361	-8.840	34.6
7010.0	0.362	-8.820	34.1
7110.0	0.367	-8.700	33.4
7210.0	0.371	-8.614	32.5
7310.0	0.371	-8.608	31.9
7410.0	0.376	-8.505	31.3
7510.0	0.373	-8.562	30.7
7610.0	0.377	-8.467	30.1
7710.0	0.379	-8.421	29.6
7810.0	0.379	-8.422	28.9
7910.0	0.383	-8.335	28.4
8010.0	0.386	-8.261	27.9
8110.0	0.389	-8.198	27.3
8210.0	0.388	-8.234	27.2
8310.0	0.390	-8.190	26.6
8410.0	0.393	-8.107	26.2
8510.0	0.392	-8.135	25.8
8610.0	0.393	-8.115	25.3
8710.0	0.392	-8.128	25.0
8810.0	0.396	-8.040	24.5
8910.0	0.396	-8.055	24.2
9010.0	0.397	-8.032	23.9
9110.0	0.398	-8.001	23.5
9210.0	0.399	-7.982	23.3
9310.0	0.401	-7.928	22.8
9410.0	0.402	-7.916	22.6
9510.0	0.401	-7.932	22.2
9610.0	0.402	-7.908	21.9
9710.0	0.404	-7.868	21.5
9810.0	0.405	-7.844	21.3
9910.0	0.407	-7.809	21.0
10010	0.405	-7.851	20.8
11010	0.411	-7.723	18.4
12010	0.416	-7.625	16.7
13010	0.416	-7.614	15.1
14010	0.419	-7.556	13.9
15010	0.421	-7.505	12.9
16010	0.421	-7.515	11.9
17010	0.424	-7.456	11.1
18010	0.424	-7.446	10.6
19010	0.425	-7.441	9.9
20010	0.427	-7.394	9.3
21010	0.425	-7.434	8.8
22010	0.427	-7.381	8.6
23010	0.427	-7.387	8.0
24010	0.429	-7.350	7.7
25010	0.429	-7.358	7.3
26010	0.429	-7.348	7.0
27010	0.428	-7.373	6.9
28010	0.428	-7.375	6.5
29010	0.430	-7.340	6.3
30010	0.430	-7.334	6.1
31010	0.431	-7.314	5.8
32010	0.430	-7.324	5.5
33010	0.432	-7.297	5.4
34010	0.432	-7.296	5.3
35010	0.430	-7.322	5.1
36010	0.432	-7.289	4.9
37010	0.430	-7.335	4.7
38010	0.432	-7.292	4.8
39010	0.432	-7.286	4.3
40010	0.430	-7.323	4.4
41010	0.431	-7.314	4.3
42010	0.432	-7.295	4.1
43010	0.433	-7.266	4.1
44010	0.433	-7.268	4.1
45010	0.432	-7.283	3.9
46010	0.433	-7.263	3.7
47010	0.431	-7.300	3.5
48010	0.433	-7.279	3.6
49010	0.433	-7.276	3.5
50010	0.434	-7.250	3.5
51010	0.440	-7.159	4.0
52010	0.326	-9.737	3.5
53010	0.327	-9.709	3.2
54010	0.435	-7.239	3.4
55010	0.433	-7.267	3.0
56010	0.432	-7.297	3.1
57010	0.435	-7.231	3.1
58010	0.434	-7.258	3.0
59010	0.435	-7.237	3.1
60010	0.433	-7.273	2.9
61010	0.433	-7.263	2.8
62010	0.435	-7.230	3.4
63010	0.433	-7.272	2.7
64010	0.433	-7.261	2.6
65010	0.434	-7.258	2.6
66010	0.435	-7.233	2.6
67010	0.434	-7.249	2.6
68010	0.433	-7.269	2.5
69010	0.435	-7.234	2.5
70010	0.434	-7.251	2.5
71010	0.435	-7.220	2.5
72010	0.433	-7.270	2.3
73010	0.433	-7.268	2.1
74010	0.434	-7.259	2.2
75010	0.434	-7.241	2.4
76010	0.433	-7.271	2.0
77010	0.433	-7.273	2.2
78010	0.434	-7.254	2.1
79010	0.434	-7.249	2.0
80010	0.435	-7.233	2.0
81010	0.434	-7.249	2.0
82010	0.433	-7.264	2.1
83010	0.434	-7.248	1.9
84010	0.433	-7.261	1.9
85010	0.433	-7.263	1.8
86010	0.433	-7.274	1.9
87010	0.434	-7.258	1.9
88010	0.434	-7.254	1.5
89010	0.435	-7.238	1.5
90010	0.434	-7.256	1.8
91010	0.435	-7.236	1.6
92010	0.433	-7.266	1.7
93010	0.434	-7.256	1.6
94010	0.434	-7.255	1.6
95010	0.433	-7.275	1.8
96010	0.433	-7.260	1.7
97010	0.434	-7.249	1.4
98010	0.433	-7.260	1.6
