N	f/[kHz]	V/[dBV]
0	0.0153	-59.0
1	0.0458	-43.3
2	0.0763	-31.1
3	0.1068	-31.1
4	0.1373	-34.2
5	0.1678	-59.0
6	0.1984	-72.2
7	0.2289	-72.2
8	0.2594	-72.5
9	0.2899	-72.5
10	0.3204	-72.8
11	0.3510	-73.1
12	0.3815	-73.1
13	0.4120	-74.1
14	0.4425	-72.8
15	0.4730	-72.8
16	0.5035	-73.1
17	0.5341	-73.1
18	0.5646	-72.2
19	0.5951	-72.2
20	0.6256	-82.9
21	0.6561	-76.6
22	0.6866	-75.7
23	0.7172	-75.7
24	0.7477	-77.2
25	0.7782	-77.2
26	0.8087	-80.4
27	0.8392	-80.4
28	0.8698	-76.6
29	0.9003	-76.6
30	0.9308	-80.7
31	0.9613	-82.2
32	0.9918	-81.9
33	1.0223	-81.9
34	1.0529	-83.5
35	1.0834	-79.1
36	1.1139	-79.1
37	1.1444	-81.9
38	1.1749	-70.3
39	1.2054	-70.3
40	1.2360	-73.1
41	1.2665	-77.2
42	1.2970	-77.2
43	1.3275	-73.5
44	1.3580	-73.5
45	1.3885	-72.2
46	1.4191	-72.2
47	1.4496	-79.4
48	1.4801	-68.8
49	1.5106	-68.8
50	1.5411	-73.8
51	1.5717	-74.1
52	1.6022	-74.1
53	1.6327	-75.3
54	1.6632	-83.2
55	1.6937	-82.6
56	1.7242	-82.6
57	1.7548	-82.6
58	1.7853	-78.2
59	1.8158	-78.2
60	1.8463	-78.2
61	1.8768	-77.5
62	1.9073	-77.5
63	1.9379	-79.4
64	1.9684	-65.3
65	1.9989	-65.3
66	2.0294	-66.9
67	2.0599	-69.4
68	2.0905	-66.2
69	2.1210	-66.2
70	2.1515	-78.5
71	2.1820	-70.3
72	2.2125	-70.3
73	2.2430	-77.2
74	2.2736	-69.7
75	2.3041	-69.7
76	2.3346	-72.8
77	2.3651	-68.8
78	2.3956	-66.6
79	2.4261	-66.6
80	2.4567	-77.5
81	2.4872	-70.6
82	2.5177	-70.6
83	2.5482	-77.8
84	2.5787	-67.5
85	2.6093	-67.5
86	2.6398	-74.1
87	2.6703	-66.9
88	2.7008	-66.9
89	2.7313	-68.4
90	2.7618	-75.0
91	2.7924	-75.3
