N	f/[kHz]	V/[dBV]
0	0.0153	-72.6
1	0.0458	-68.9
2	0.0763	-57.9
3	0.1068	-57.9
4	0.1373	-61.4
5	0.1678	-83.9
6	0.1984	-83.9
7	0.2289	-88.0
8	0.2594	-88.6
9	0.2899	-97.1
10	0.3204	-88.0
11	0.3510	-88.0
12	0.3815	-89.3
13	0.4120	-88.3
14	0.4425	-86.8
15	0.4730	-85.5
16	0.5035	-85.5
17	0.5341	-86.1
18	0.5646	-93.4
19	0.5951	-93.4
20	0.6256	-88.0
21	0.6561	-88.0
22	0.6866	-91.5
23	0.7172	-91.5
24	0.7477	-93.0
25	0.7782	-95.2
26	0.8087	-92.1
27	0.8392	-87.1
28	0.8698	-87.1
29	0.9003	-88.6
30	0.9308	-91.8
31	0.9613	-90.8
32	0.9918	-89.6
33	1.0223	-89.6
34	1.0529	-90.5
35	1.0834	-89.3
36	1.1139	-89.3
37	1.1444	-89.6
38	1.1749	-95.5
39	1.2054	-90.5
40	1.2360	-90.5
41	1.2665	-92.1
42	1.2970	-92.1
43	1.3275	-94.0
44	1.3580	-90.8
45	1.3885	-90.8
46	1.4191	-90.8
47	1.4496	-90.5
48	1.4801	-85.8
49	1.5106	-85.8
50	1.5411	-93.0
51	1.5717	-94.9
52	1.6022	-92.7
53	1.6327	-92.7
54	1.6632	-93.0
55	1.6937	-93.7
56	1.7242	-91.2
57	1.7548	-91.2
58	1.7853	-92.7
59	1.8158	-94.9
60	1.8463	-92.7
61	1.8768	-92.7
62	1.9073	-85.8
63	1.9379	-85.8
64	1.9684	-81.1
65	1.9989	-80.5
66	2.0294	-80.5
67	2.0599	-83.0
68	2.0905	-88.3
69	2.1210	-88.3
70	2.1515	-84.6
71	2.1820	-84.6
72	2.2125	-88.6
73	2.2430	-87.1
74	2.2736	-87.1
75	2.3041	-88.3
76	2.3346	-88.3
77	2.3651	-88.0
78	2.3956	-85.5
79	2.4261	-85.5
80	2.4567	-84.6
81	2.4872	-84.6
82	2.5177	-96.2
83	2.5482	-86.8
84	2.5787	-86.8
85	2.6093	-89.9
86	2.6398	-89.0
87	2.6703	-89.0
88	2.7008	-91.2
89	2.7313	-92.1
90	2.7618	-81.1
91	2.7924	-81.1
92	2.8229	-83.6
93	2.8534	-83.3
94	2.8839	-81.4
95	2.9144	-81.4
96	2.9449	-86.8
97	2.9755	-86.8
98	3.0060	-89.3
99	3.0365	-84.6
100	3.0670	-84.3
101	3.0975	-76.1
102	3.1281	-76.1
103	3.1586	-75.5
104	3.1891	-72.0
105	3.2196	-72.0
106	3.2501	-79.5
107	3.2806	-73.9
108	3.3112	-73.9
109	3.3417	-77.0
110	3.3722	-72.6
111	3.4027	-71.4
112	3.4332	-71.4
113	3.4637	-66.7
114	3.4943	-62.0
115	3.5248	-62.0
116	3.5553	-24.6
117	3.5858	-17.7
118	3.6163	-17.7
119	3.6469	-25.9
120	3.6774	-58.8
121	3.7079	-58.8
122	3.7384	-63.9
123	3.7689	-67.9
124	3.7994	-67.9
125	3.8300	-67.9
126	3.8605	-75.8
127	3.8910	-74.5
128	3.9215	-74.5
129	3.9520	-80.8
130	3.9825	-78.3
131	4.0131	-78.3
132	4.0436	-85.8
133	4.0741	-73.9
134	4.1046	-73.9
135	4.1351	-79.2
136	4.1656	-73.3
137	4.1962	-73.3
138	4.2267	-74.5
139	4.2572	-85.2
140	4.2877	-80.5
141	4.3182	-80.5
142	4.3488	-82.1
143	4.3793	-78.3
144	4.4098	-78.3
145	4.4403	-82.4
146	4.4708	-81.4
147	4.5013	-79.2
148	4.5319	-79.2
149	4.5624	-79.5
150	4.5929	-79.5
151	4.6234	-83.0
152	4.6539	-85.5
153	4.6844	-80.8
154	4.7150	-80.8
155	4.7455	-89.0
156	4.7760	-78.3
157	4.8065	-78.3
158	4.8370	-80.5
159	4.8676	-89.3
160	4.8981	-84.9
161	4.9286	-84.9
162	4.9591	-88.0
163	4.9896	-89.6
164	5.0201	-96.8
165	5.0507	-93.0
166	5.0812	-85.5
167	5.1117	-84.3
168	5.1422	-84.3
169	5.1727	-77.7
170	5.2032	-77.7
171	5.2338	-81.1
172	5.2643	-87.1
173	5.2948	-87.1
174	5.3253	-89.9
175	5.3558	-89.9
176	5.3864	-89.3
177	5.4169	-89.3
178	5.4474	-90.8
179	5.4779	-90.8
180	5.5084	-90.8
181	5.5389	-94.6
182	5.5695	-94.6
183	5.6000	-90.2
184	5.6305	-84.9
185	5.6610	-84.9
186	5.6915	-86.8
187	5.7220	-86.8
188	5.7526	-89.3
189	5.7831	-85.2
190	5.8136	-85.2
191	5.8441	-96.5
192	5.8746	-84.9
193	5.9052	-84.9
194	5.9357	-89.6
195	5.9662	-90.2
196	5.9967	-90.2
197	6.0272	-90.2
198	6.0577	-90.2
199	6.0883	-82.7
200	6.1188	-82.7
201	6.1493	-89.6
202	6.1798	-86.1
203	6.2103	-86.1
204	6.2408	-90.2
205	6.2714	-84.3
206	6.3019	-84.3
207	6.3324	-84.6
208	6.3629	-74.2
209	6.3934	-71.4
210	6.4240	-71.4
211	6.4545	-85.5
212	6.4850	-82.4
213	6.5155	-82.4
214	6.5460	-93.0
215	6.5765	-88.6
216	6.6071	-88.6
217	6.6376	-87.4
218	6.6681	-87.4
219	6.6986	-92.4
220	6.7291	-91.8
221	6.7596	-89.9
222	6.7902	-88.0
223	6.8207	-87.7
224	6.8512	-87.7
225	6.8817	-99.0
226	6.9122	-89.6
227	6.9427	-89.6
228	6.9733	-92.4
229	7.0038	-94.6
230	7.0343	-93.4
231	7.0648	-88.3
232	7.0953	-88.3
233	7.1259	-92.1
234	7.1564	-86.8
235	7.1869	-83.0
236	7.2174	-83.0
237	7.2479	-84.3
238	7.2784	-80.2
239	7.3090	-80.2
240	7.3395	-88.3
241	7.3700	-85.2
242	7.4005	-84.6
243	7.4310	-84.6
244	7.4615	-93.4
245	7.4921	-88.3
246	7.5226	-88.3
247	7.5531	-94.6
248	7.5836	-83.0
249	7.6141	-83.0
250	7.6447	-89.0
251	7.6752	-88.3
252	7.7057	-83.9
253	7.7362	-83.9
254	7.7667	-80.8
255	7.7972	-80.8
256	7.8278	-85.5
257	7.8583	-78.0
258	7.8888	-77.0
259	7.9193	-77.0
260	7.9498	-47.5
261	7.9803	-37.5
262	8.0109	-37.5
263	8.0414	-42.8
264	8.0719	-75.2
265	8.1024	-74.5
266	8.1329	-74.5
267	8.1635	-82.1
268	8.1940	-77.0
269	8.2245	-77.0
270	8.2550	-87.4
271	8.2855	-83.9
272	8.3160	-83.9
273	8.3466	-85.8
274	8.3771	-86.1
275	8.4076	-86.1
276	8.4381	-91.8
277	8.4686	-94.3
278	8.4991	-97.7
279	8.5297	-91.5
280	8.5602	-91.5
281	8.5907	-86.1
282	8.6212	-86.1
283	8.6517	-88.6
284	8.6823	-92.7
285	8.7128	-84.3
286	8.7433	-84.3
287	8.7738	-87.4
288	8.8043	-87.4
289	8.8348	-86.5
290	8.8654	-83.6
291	8.8959	-83.6
292	8.9264	-87.1
293	8.9569	-88.0
294	8.9874	-88.0
295	9.0179	-90.2
296	9.0485	-88.0
297	9.0790	-85.5
298	9.1095	-84.9
299	9.1400	-84.9
300	9.1705	-90.8
301	9.2010	-91.2
302	9.2316	-87.7
303	9.2621	-87.7
304	9.2926	-87.1
305	9.3231	-87.1
306	9.3536	-90.5
307	9.3842	-90.5
308	9.4147	-90.5
309	9.4452	-92.7
310	9.4757	-82.4
311	9.5062	-82.4
312	9.5367	-87.7
313	9.5673	-95.9
314	9.5978	-98.7
315	9.6283	-96.5
316	9.6588	-88.6
317	9.6893	-88.6
318	9.7198	-92.7
319	9.7504	-94.9
320	9.7809	-93.7
321	9.8114	-93.7
322	9.8419	-94.6
323	9.8724	-97.1
324	9.9030	-96.2
