N	f/[kHz]	V/[dBV]
0	0.0153	-63.0
1	0.0458	-43.6
2	0.0763	-31.3
3	0.1068	-31.3
4	0.1373	-34.5
5	0.1678	-58.3
6	0.1984	-61.5
7	0.2289	-61.5
8	0.2594	-69.0
9	0.2899	-70.2
10	0.3204	-71.8
11	0.3510	-71.8
12	0.3815	-66.8
13	0.4120	-66.8
14	0.4425	-82.8
15	0.4730	-67.7
16	0.5035	-67.7
17	0.5341	-66.5
18	0.5646	-64.3
19	0.5951	-62.4
20	0.6256	-62.4
21	0.6561	-72.1
22	0.6866	-72.1
23	0.7172	-68.4
24	0.7477	-68.4
25	0.7782	-66.5
26	0.8087	-66.5
27	0.8392	-69.6
28	0.8698	-69.3
29	0.9003	-68.7
30	0.9308	-66.2
31	0.9613	-66.2
32	0.9918	-61.5
33	1.0223	-61.5
34	1.0529	-67.7
35	1.0834	-67.7
36	1.1139	-72.1
37	1.1444	-65.5
38	1.1749	-62.4
39	1.2054	-62.1
40	1.2360	-62.1
41	1.2665	-68.4
42	1.2970	-68.7
43	1.3275	-66.5
44	1.3580	-66.5
45	1.3885	-69.9
46	1.4191	-69.6
47	1.4496	-69.6
48	1.4801	-67.1
49	1.5106	-65.5
50	1.5411	-65.5
51	1.5717	-74.3
52	1.6022	-67.1
53	1.6327	-67.1
54	1.6632	-73.1
55	1.6937	-65.8
56	1.7242	-65.8
57	1.7548	-73.7
58	1.7853	-64.9
59	1.8158	-64.9
60	1.8463	-70.2
61	1.8768	-67.4
62	1.9073	-67.4
63	1.9379	-58.3
64	1.9684	-41.1
65	1.9989	-40.7
66	2.0294	-40.7
67	2.0599	-55.5
68	2.0905	-60.8
69	2.1210	-60.8
70	2.1515	-64.6
71	2.1820	-68.7
72	2.2125	-71.2
73	2.2430	-74.9
74	2.2736	-70.2
75	2.3041	-68.4
76	2.3346	-63.3
77	2.3651	-48.6
78	2.3956	-47.0
79	2.4261	-47.0
80	2.4567	-64.0
81	2.4872	-68.0
82	2.5177	-72.4
83	2.5482	-61.8
84	2.5787	-51.4
85	2.6093	-51.4
86	2.6398	-56.7
87	2.6703	-67.1
88	2.7008	-66.5
89	2.7313	-66.5
90	2.7618	-65.2
91	2.7924	-65.2
92	2.8229	-65.2
93	2.8534	-66.8
94	2.8839	-73.4
95	2.9144	-73.4
96	2.9449	-80.0
97	2.9755	-66.5
98	3.0060	-66.5
99	3.0365	-73.4
