N	f/[kHz]	V/[dBV]
0	0.0153	-59.1
1	0.0458	-65.7
2	0.0763	-53.8
3	0.1068	-53.8
4	0.1373	-62.9
5	0.1678	-63.8
6	0.1984	-56.9
7	0.2289	-56.9
8	0.2594	-57.8
9	0.2899	-57.8
10	0.3204	-60.4
11	0.3510	-61.6
12	0.3815	-65.1
13	0.4120	-64.1
14	0.4425	-64.1
15	0.4730	-56.9
16	0.5035	-56.9
17	0.5341	-60.7
18	0.5646	-62.9
19	0.5951	-67.9
20	0.6256	-72.0
21	0.6561	-56.0
22	0.6866	-51.9
23	0.7172	-51.9
24	0.7477	-55.7
25	0.7782	-51.6
26	0.8087	-51.6
27	0.8392	-53.5
28	0.8698	-59.4
29	0.9003	-59.4
30	0.9308	-61.6
31	0.9613	-61.6
32	0.9918	-59.7
33	1.0223	-59.7
34	1.0529	-59.7
35	1.0834	-58.8
36	1.1139	-56.3
37	1.1444	-56.3
38	1.1749	-57.8
39	1.2054	-57.8
40	1.2360	-60.4
41	1.2665	-66.9
42	1.2970	-60.4
43	1.3275	-60.4
44	1.3580	-61.9
45	1.3885	-55.7
46	1.4191	-55.7
47	1.4496	-57.5
48	1.4801	-61.0
49	1.5106	-61.0
50	1.5411	-59.4
51	1.5717	-58.2
52	1.6022	-57.8
53	1.6327	-57.8
54	1.6632	-60.4
55	1.6937	-60.4
56	1.7242	-56.6
57	1.7548	-56.6
58	1.7853	-55.3
59	1.8158	-55.3
60	1.8463	-63.2
61	1.8768	-59.7
62	1.9073	-59.7
63	1.9379	-58.5
64	1.9684	-40.3
65	1.9989	-40.3
66	2.0294	-40.6
67	2.0599	-58.2
68	2.0905	-58.2
69	2.1210	-59.7
70	2.1515	-58.8
71	2.1820	-58.8
72	2.2125	-60.4
73	2.2430	-60.4
74	2.2736	-57.5
75	2.3041	-56.6
76	2.3346	-56.6
77	2.3651	-51.3
78	2.3956	-45.3
79	2.4261	-45.3
80	2.4567	-56.3
81	2.4872	-58.8
82	2.5177	-64.1
83	2.5482	-54.4
84	2.5787	-50.9
85	2.6093	-50.9
86	2.6398	-53.1
87	2.6703	-57.8
88	2.7008	-61.3
89	2.7313	-57.8
90	2.7618	-57.8
