N	f/[kHz]	V/[dBV]
0	0.0153	-21.0
1	0.0458	-14.4
2	0.0763	-1.8
3	0.1068	-1.8
4	0.1373	-5.3
5	0.1678	-29.1
6	0.1984	-46.1
7	0.2289	-46.1
8	0.2594	-46.1
9	0.2899	-46.1
10	0.3204	-46.1
11	0.3510	-48.9
12	0.3815	-49.5
13	0.4120	-50.5
14	0.4425	-50.5
15	0.4730	-50.5
16	0.5035	-50.5
17	0.5341	-53.0
18	0.5646	-50.8
19	0.5951	-50.8
20	0.6256	-53.6
21	0.6561	-53.6
22	0.6866	-54.5
23	0.7172	-54.9
24	0.7477	-54.9
25	0.7782	-53.6
26	0.8087	-53.6
27	0.8392	-54.9
28	0.8698	-54.9
29	0.9003	-56.4
30	0.9308	-56.4
31	0.9613	-59.3
32	0.9918	-54.5
33	1.0223	-54.5
34	1.0529	-55.5
35	1.0834	-55.5
36	1.1139	-58.6
37	1.1444	-58.6
38	1.1749	-53.6
39	1.2054	-53.6
40	1.2360	-59.3
41	1.2665	-59.3
42	1.2970	-56.7
43	1.3275	-56.7
44	1.3580	-64.6
45	1.3885	-55.8
46	1.4191	-55.8
47	1.4496	-61.1
48	1.4801	-58.3
49	1.5106	-58.3
50	1.5411	-63.3
51	1.5717	-58.0
52	1.6022	-58.0
53	1.6327	-61.5
54	1.6632	-60.2
55	1.6937	-60.2
56	1.7242	-62.4
57	1.7548	-62.4
58	1.7853	-60.5
59	1.8158	-60.5
60	1.8463	-62.4
61	1.8768	-64.6
62	1.9073	-60.8
63	1.9379	-57.4
64	1.9684	-40.1
65	1.9989	-39.8
66	2.0294	-39.8
67	2.0599	-54.5
68	2.0905	-57.1
69	2.1210	-57.1
70	2.1515	-64.3
71	2.1820	-59.9
72	2.2125	-59.9
73	2.2430	-65.5
74	2.2736	-60.2
75	2.3041	-60.2
76	2.3346	-62.7
77	2.3651	-49.2
78	2.3956	-48.9
79	2.4261	-48.9
80	2.4567	-59.6
81	2.4872	-63.6
82	2.5177	-62.4
83	2.5482	-62.4
84	2.5787	-49.8
85	2.6093	-49.8
86	2.6398	-55.8
87	2.6703	-64.0
88	2.7008	-64.0
89	2.7313	-63.0
90	2.7618	-63.0
91	2.7924	-65.2
92	2.8229	-64.6
93	2.8534	-64.6
94	2.8839	-58.6
95	2.9144	-58.6
96	2.9449	-62.7
97	2.9755	-58.9
98	3.0060	-58.9
99	3.0365	-63.6
100	3.0670	-61.8
101	3.0975	-58.9
102	3.1281	-58.9
103	3.1586	-69.6
104	3.1891	-57.7
105	3.2196	-57.7
106	3.2501	-67.4
107	3.2806	-55.5
108	3.3112	-55.5
109	3.3417	-64.6
110	3.3722	-64.6
111	3.4027	-61.5
112	3.4332	-61.5
113	3.4637	-55.8
114	3.4943	-50.5
115	3.5248	-50.5
116	3.5553	-14.4
117	3.5858	-7.5
118	3.6163	-7.5
119	3.6469	-15.3
120	3.6774	-52.0
121	3.7079	-52.0
122	3.7384	-55.2
123	3.7689	-62.4
124	3.7994	-60.8
125	3.8300	-60.8
126	3.8605	-61.8
127	3.8910	-57.1
128	3.9215	-57.1
129	3.9520	-57.1
130	3.9825	-48.6
131	4.0131	-48.6
132	4.0436	-55.5
133	4.0741	-67.4
134	4.1046	-67.4
135	4.1351	-66.5
136	4.1656	-56.1
137	4.1962	-53.9
138	4.2267	-53.9
139	4.2572	-62.7
140	4.2877	-63.0
141	4.3182	-63.0
142	4.3488	-69.0
143	4.3793	-63.6
144	4.4098	-63.6
145	4.4403	-66.5
146	4.4708	-61.8
147	4.5013	-61.1
148	4.5319	-61.1
149	4.5624	-62.4
150	4.5929	-62.4
151	4.6234	-63.6
152	4.6539	-66.2
153	4.6844	-64.6
154	4.7150	-64.6
155	4.7455	-70.2
156	4.7760	-56.7
157	4.8065	-56.7
158	4.8370	-60.8
159	4.8676	-70.9
160	4.8981	-64.0
161	4.9286	-64.0
162	4.9591	-65.8
163	4.9896	-65.8
164	5.0201	-68.7
165	5.0507	-68.7
166	5.0812	-68.7
167	5.1117	-71.2
168	5.1422	-69.9
169	5.1727	-63.3
170	5.2032	-63.3
171	5.2338	-64.3
172	5.2643	-69.3
173	5.2948	-64.9
174	5.3253	-64.9
175	5.3558	-69.9
176	5.3864	-67.7
177	5.4169	-67.7
178	5.4474	-71.2
179	5.4779	-62.7
180	5.5084	-62.7
181	5.5389	-66.2
182	5.5695	-59.9
183	5.6000	-59.3
184	5.6305	-59.3
185	5.6610	-67.4
186	5.6915	-70.5
187	5.7220	-74.3
188	5.7526	-66.8
189	5.7831	-57.7
190	5.8136	-57.7
191	5.8441	-63.6
192	5.8746	-62.4
193	5.9052	-61.8
194	5.9357	-61.8
195	5.9662	-59.3
196	5.9967	-58.3
197	6.0272	-58.3
198	6.0577	-70.9
199	6.0883	-73.1
200	6.1188	-69.3
201	6.1493	-69.3
202	6.1798	-72.1
203	6.2103	-65.5
204	6.2408	-65.5
205	6.2714	-64.6
206	6.3019	-63.0
207	6.3324	-63.0
208	6.3629	-66.8
209	6.3934	-65.8
210	6.4240	-65.8
211	6.4545	-71.5
212	6.4850	-66.5
213	6.5155	-66.5
214	6.5460	-71.5
215	6.5765	-60.2
216	6.6071	-60.2
217	6.6376	-62.7
218	6.6681	-68.4
219	6.6986	-64.0
220	6.7291	-64.0
221	6.7596	-68.7
222	6.7902	-64.3
223	6.8207	-64.3
224	6.8512	-64.0
225	6.8817	-60.5
226	6.9122	-60.5
227	6.9427	-61.5
228	6.9733	-58.9
229	7.0038	-58.9
230	7.0343	-58.9
231	7.0648	-60.2
232	7.0953	-56.7
233	7.1259	-56.7
234	7.1564	-61.1
235	7.1869	-54.2
236	7.2174	-54.2
237	7.2479	-63.6
238	7.2784	-68.4
239	7.3090	-64.3
240	7.3395	-64.0
241	7.3700	-57.4
242	7.4005	-55.5
243	7.4310	-55.5
244	7.4615	-64.0
245	7.4921	-61.5
246	7.5226	-61.5
247	7.5531	-57.4
248	7.5836	-52.7
249	7.6141	-52.7
250	7.6447	-56.1
251	7.6752	-58.9
252	7.7057	-54.9
253	7.7362	-54.9
254	7.7667	-52.0
255	7.7972	-51.4
