#Digilent WaveForms Scope FFT
#Device Name: Discovery3
#Serial Number: SN:210415BB6C6F
#Date Time: 2026-05-19 14:40:38.231

Frequency (Hz),Channel 1 (dBV),Phase (deg)
0,-46.3251703879274,0
762.939453125,-50.57663409621451,-172.8489325978695
1525.87890625,-58.33932770084318,-11.30989665889546
2288.818359375,-58.512158492098,107.5053800616667
3051.7578125,-55.60480198584106,-80.65205849819591
3814.697265625,-54.78312067122051,137.8291198592846
4577.63671875,-53.41195359758477,-9.216239549071704
5340.576171875,-54.93792891763572,-174.0458036330614
6103.515625,-65.5403326855014,15.44223569795737
6866.455078125,-80.66032131314896,-171.3853639306868
7629.39453125,-73.62676468129958,-36.35023936962871
8392.333984375,-81.09824104111811,3.1201095881428
9155.2734375,-64.68535666696209,106.4203931957282
9918.212890625,-63.68227105513053,-80.09789790324771
10681.15234375,-66.87818757869258,82.03848919036679
11444.091796875,-70.62422578624664,-84.41116265438562
12207.03125,-67.49849386038798,-72.32764684210355
12969.970703125,-67.13147341439947,128.1500175231014
13732.91015625,-68.45332885422278,108.0956221342496
14495.849609375,-62.84637057702301,-47.33469785477383
15258.7890625,-59.65110073192051,166.6674007370251
16021.728515625,-65.24102913485295,14.8585682481959
16784.66796875,-70.12207586578621,-78.42573544639532
17547.607421875,-66.65915697935066,31.37863364148049
18310.546875,-59.98500076383649,132.5498355064068
19073.486328125,-60.14058947158328,-60.6884607731407
19836.42578125,-67.54093565634585,118.9334071713783
20599.365234375,-72.61240927485909,129.9039503252729
21362.3046875,-61.38065254205956,-135.6354301446877
22125.244140625,-62.81452953301123,33.63632024170241
22888.18359375,-70.14557139880993,-51.79256201824239
23651.123046875,-67.25603725615132,-169.413745226543
24414.0625,-71.0637567351057,98.60151506604254
25177.001953125,-67.65468048680373,-89.99301646117685
25939.94140625,-61.74426496368855,155.3149704914927
26702.880859375,-57.52982943494604,-28.37311828280976
27465.8203125,-61.88875784615685,128.3980697085501
28228.759765625,-71.0123648582817,-46.13853020056386
28991.69921875,-75.19730425528945,22.95753994120659
29754.638671875,-66.85889122520622,49.29423948307262
30517.578125,-60.1930777356374,-130.5420446017818
31280.517578125,-60.18632586189941,27.99781614663299
32043.45703125,-58.96309704308788,-174.7501585142354
32806.396484375,-59.54196360646068,38.96234296271253
33569.3359375,-67.80674710481671,-66.95785889418634
34332.275390625,-60.20436587787839,-137.6008638592468
35095.21484375,-58.79634557708741,71.57394716191543
35858.154296875,-62.02741001822193,-77.34078189234997
36621.09375,-66.08638604709805,119.4580325928521
37384.033203125,-67.30139304037041,-89.85270308184708
38146.97265625,-69.10097264485449,135.8281839402671
