#Digilent WaveForms Spectrum Analyzer
#Device Name: Discovery3
#Serial Number: SN:210415BB6C6F
#Date Time: 2026-05-19 16:01:17.059
#Trace: Trace 1
#Start: 0 Hz
#Stop: 2e+06 Hz
#BINs: 8193
#Rate: 4e+06 Hz
#Samples: 16384
#Channel: C1
#Type: Sample
#Window: Flat Top
#Channel: C1
#Range: 5.41735 V
#Offset: 0.000121392 V
#Attenuation: 1 X
#Channel: C2
#Range: 5.41996 V
#Offset: 0.00033881 V
#Attenuation: 1 X
#Channel: F1
#Range: nan V
#Offset: nan V
#Attenuation: 1 X
#Channel: F2
#Range: nan V
#Offset: nan V
#Attenuation: 1 X

Frequency (Hz),Trace 1 (dBV),Phase (deg)
0,-46.1347143590001,0
244.140625,-46.47901919528245,-177.9913654223652
488.28125,-49.99602569920937,6.38141950863908
732.421875,-60.28061734167369,-157.1990716713832
976.5625,-69.54709880566153,94.30595057232699
1220.703125,-70.1609689134055,-83.97817260660567
1464.84375,-72.89692168491317,86.8545826920663
1708.984375,-76.67548513143613,-56.75641075728504
1953.125,-75.43794787811321,-161.670003847793
2197.265625,-69.27038645882207,55.97832904151111
2441.40625,-66.38195635237045,-118.5575364290908
2685.546875,-66.75706072405542,72.39116339100194
2929.6875,-70.32673556242626,-96.57252889393479
3173.828125,-84.83569736649522,79.51100645666098
3417.96875,-74.79324473735026,77.02760663584407
3662.109375,-69.40777473163885,-104.8870048153464
3906.25,-68.60554071859225,61.77897884727226
4150.390625,-68.53549805596289,-144.535285181729
4394.53125,-68.78597797554568,10.69168608701292
4638.671875,-69.45680187573151,170.1116414986554
4882.8125,-70.87947643909638,-14.77888498271902
5126.953125,-73.62534715253582,174.1597198040044
5371.09375,-79.2785175250517,-5.846497258409613
5615.234375,-88.74229141867757,-139.279144457257
5859.375,-81.12065436333253,61.26197615457106
6103.515625,-82.83875386834913,145.9077070678672
6347.65625,-72.92038098256523,-77.94758828368914
6591.796875,-68.12565859723372,109.8903587530059
6835.9375,-64.68104243017355,-73.710865589414
7080.078125,-63.82700319362801,90.99960141525318
7324.21875,-65.62843810584152,-104.2346454203685
7568.359375,-69.9164537429368,39.39293390186906
7812.5,-69.32692689446743,165.0431220779171
8056.640625,-68.52846980086642,-41.19775591268277
8300.78125,-69.60884414895321,127.3926168990764
8544.921875,-76.64175859366784,-47.11529036403893
8789.0625,-85.50181956010371,-64.16488223309887
9033.203125,-78.54769852439892,127.2517554363069
9277.34375,-78.07851424472955,-43.68287037986973
9521.484375,-75.69885707251295,165.3111076012298
9765.625,-72.16298872809359,10.0724560840087
10009.765625,-71.05338499638262,-161.4945549632668
10253.90625,-75.70191205252443,15.98218931337405
10498.046875,-86.39302098698637,-67.96002918153111
10742.1875,-75.76814473145055,146.1225169240577
10986.328125,-72.01518853396115,-46.44462421623731
11230.46875,-68.62192068694415,105.5508267981276
11474.609375,-66.98594664668049,-96.16301648903097
11718.75,-67.79028770928559,75.22837435964695
11962.890625,-70.60122891541083,-104.6286793858897
12207.03125,-77.72122053797324,42.60702088051645
12451.171875,-75.59783196650071,140.1172877613841
12695.3125,-74.84553768504145,-40.07735870975745
12939.453125,-71.8661264530343,146.4079389841969
13183.59375,-68.79699886566956,-50.38532594184475
13427.734375,-69.25368169072838,116.0869474480095
13671.875,-69.37627538566224,-66.94198036391471
