#Digilent WaveForms Spectrum Analyzer
#Device Name: Discovery3
#Serial Number: SN:210415BB6C6F
#Date Time: 2026-05-19 16:05:55.272
#Trace: Trace 1
#Start: 0 Hz
#Stop: 5e+06 Hz
#BINs: 8193
#Rate: 1e+07 Hz
#Samples: 16384
#Channel: C1
#Type: Sample
#Window: Flat Top
#Channel: C1
#Range: 5.41735 V
#Offset: 0.000121392 V
#Attenuation: 1 X
#Channel: C2
#Range: 5.41996 V
#Offset: 0.00033881 V
#Attenuation: 1 X
#Channel: F1
#Range: nan V
#Offset: nan V
#Attenuation: 1 X
#Channel: F2
#Range: nan V
#Offset: nan V
#Attenuation: 1 X

Frequency (Hz),Trace 1 (dBV),Phase (deg)
0,-46.99782397700833,0
610.3515625,-47.24007229430124,176.1436649785149
1220.703125,-50.396097973473,-7.262164916287448
1831.0546875,-59.33132313314479,163.2517176645774
2441.40625,-72.88141190061943,-31.29435858160512
3051.7578125,-86.35733235086403,-143.9683126563026
3662.109375,-73.5153159044782,146.1056293028727
4272.4609375,-68.38027474853612,-27.2011367351639
4882.8125,-68.17792038371013,171.0335186217416
5493.1640625,-67.60822144031719,14.55774042762629
6103.515625,-68.26286159171909,-136.2312666958253
6713.8671875,-67.64779478574857,83.06659622152134
7324.21875,-68.23112623518359,-69.34145796980299
7934.5703125,-68.99785409110463,143.4112899111744
8544.921875,-67.06230935238382,-6.330474391112001
9155.2734375,-64.36282746166479,-167.9149436286635
9765.625,-62.99778072906489,5.720873089408429
10375.9765625,-62.30829171136273,165.3936190839974
10986.328125,-62.6557203587625,-24.77902088642517
11596.6796875,-64.84407684488053,146.3037448655766
12207.03125,-66.95324647320382,-68.31940601472635
12817.3828125,-66.21861892064045,77.48707035326596
13427.734375,-65.81657855299487,-109.7774970159357
14038.0859375,-65.21545267214906,84.15529963776591
14648.4375,-65.85403285042884,-76.97020425554089
15258.7890625,-68.15756811302025,115.046590774158
15869.140625,-69.63758059222123,-51.83135073573435
16479.4921875,-70.75588329389424,172.7583301327076
17089.84375,-70.58431895128935,37.65217156320694
17700.1953125,-72.0933175246773,-133.7183913499211
18310.546875,-71.90423280792446,21.61097015225703
18920.8984375,-69.50752997756781,-173.5411453523504
19531.25,-66.58787578446831,-11.8766746063212
20141.6015625,-63.16632269021908,152.4298264402816
20751.953125,-63.09986618140571,-26.12125612537419
21362.3046875,-68.15682616154126,154.4865120527509
21972.65625,-72.78429137263488,-98.89903652232876
22583.0078125,-66.73624974173086,33.46360558921766
23193.359375,-63.2834053537465,-168.4404257574772
23803.7109375,-62.71579712183861,6.403153453542212
24414.0625,-64.56602978642729,-177.9436333274448
25024.4140625,-67.41020286782395,-15.42032638149116
25634.765625,-73.02000831210242,115.6712182574712
26245.1171875,-69.31319294315487,-157.9361636984029
26855.46875,-65.34501680607117,-7.599468750073388
27465.8203125,-66.88289828687184,159.134712262508
28076.171875,-74.55050026810814,-43.99147418552694
28686.5234375,-72.90844667469756,11.49150379001317
29296.875,-65.09087581659504,166.7634254636571
29907.2265625,-63.46811106836229,-20.73875139923357
30517.578125,-66.48848411693842,154.5703355473417
31127.9296875,-75.64754392810944,-25.77658306476736
31738.28125,-77.64706870199345,-42.69987685242138
32348.6328125,-67.38928253160537,155.0858752416447
32958.984375,-64.18014867875145,-21.11408690908383
33569.3359375,-65.16690074062055,155.249462089658
34179.6875,-69.50129489716826,-30.68557459629622
34790.0390625,-81.75409004141696,150.8147606760807
35400.390625,-71.7722616946306,161.026180997498
36010.7421875,-64.1836458067264,-13.05637977627468
36621.09375,-62.77838762142852,176.4434051372504
37231.4453125,-62.55432630120041,18.54291504164076
37841.796875,-61.57336135442532,-148.9156282163619
38452.1484375,-63.12480266884449,40.46638661508513
39062.5,-67.09971902360125,-108.583663218064
39672.8515625,-71.39302331131023,116.7737724290251
40283.203125,-73.60275194395629,0.2360680818697024
40893.5546875,-72.03938957058038,-167.1109508124031
41503.90625,-72.82483902371536,-25.68801177554724
42114.2578125,-68.86518922576089,117.3679413861553
42724.609375,-66.42624119251059,-61.01096559819116
43334.9609375,-65.91052090832083,140.5459670623871
43945.3125,-64.66198646907789,-14.75253072506711
44555.6640625,-65.23322626449325,-169.9326313083778
45166.015625,-66.90746118638883,51.87612554829908
45776.3671875,-67.34987768639829,-102.3963667883049
46386.71875,-69.24093419980211,90.22125007974844
46997.0703125,-69.53950864747191,-74.10166317628655
47607.421875,-69.80138402738775,93.37014940708868
48217.7734375,-72.94067643498411,-120.8747237660583
48828.125,-78.98319320035731,-20.77571217012506
49438.4765625,-74.83983576445107,106.6354214152263
50048.828125,-73.1889132805007,-79.45878702552031
50659.1796875,-73.25764702385973,98.62269643849142
51269.53125,-78.7478324204954,-81.95536073088749
51879.8828125,-89.20727610016577,-41.93983444813905
52490.234375,-80.28400894191333,127.6500974039686
53100.5859375,-79.25511084978227,-17.56357261786666
53710.9375,-74.46321711600986,-176.5148632550428
54321.2890625,-72.3252097368096,2.593275484245396
54931.640625,-73.52505502727085,-176.4062531152524
55541.9921875,-76.04160245171813,11.40706963893791
56152.34375,-77.98698668904908,-153.1714571870243
56762.6953125,-82.218467162651,76.1978257526147
57373.046875,-79.88736373577149,-50.05378838652997
57983.3984375,-79.38955895262806,118.3478586626721
58593.75,-79.96618812289151,-95.07058786390877
59204.1015625,-80.67124108856424,67.08846305363237
59814.453125,-78.56732203894614,-114.2068034051008
60424.8046875,-75.55348094785802,55.73870220346129
61035.15625,-76.57575640954896,-131.9860393910126
61645.5078125,-79.52533684319833,30.71940597222639
62255.859375,-77.11005450404748,-171.0174017283643
62866.2109375,-75.69571646649445,-4.59637421121882
63476.5625,-75.56473329334975,167.4809814468992
64086.9140625,-76.6102366443544,-8.317501316586389
64697.265625,-79.6994597123804,171.6119743660602
65307.6171875,-83.5745280298201,-20.58429984267442
65917.96875,-93.97772347634771,122.7325008627168
66528.3203125,-90.65926666658932,154.8159197618614
67138.671875,-85.8777278589121,-60.39727183817661
67749.0234375,-81.95157654511691,99.59649427674246
68359.375,-78.36505585317254,-97.75191520010067
68969.7265625,-77.03245438312162,73.22263751479925
69580.078125,-77.76789089742508,-105.4086030953602
70190.4296875,-78.32829419828556,80.88456150980937
70800.78125,-79.35983701218096,-86.13741750620733
71411.1328125,-82.25623042153309,107.546209609212
72021.484375,-87.30133479551444,-83.85780015210271
72631.8359375,-93.42332487117062,59.96932548251259
73242.1875,-98.10375483483446,154.8992727280349
73852.5390625,-98.45741426290822,-72.54371701305287
74462.890625,-91.40833540244002,-0.6889763323811456
75073.2421875,-84.16472528556676,-176.8681461790504
75683.59375,-81.976213628797,13.96738165543762
76293.9453125,-82.19471021235395,-165.9917286832928
76904.296875,-84.60421148277044,15.70205253728697
77514.6484375,-90.80710454928283,-161.3439476999517
78125,-92.42601915589867,-87.86586610977209
78735.3515625,-83.21387509625441,75.84328393592767
79345.703125,-80.70738311184114,-106.5790648717565
79956.0546875,-80.51975115889981,76.1597590145084
80566.40625,-81.03689768630446,-90.89283055034483
81176.7578125,-82.05502639767361,108.4713768787219
81787.109375,-84.377926978687,-45.6008634527607
82397.4609375,-86.18632194077821,157.9710250488855
83007.8125,-88.79133821745556,-30.12041326124611
83618.1640625,-95.64680509437073,92.06804523286394
84228.515625,-89.64822029203128,-157.1201281672502
84838.8671875,-86.58572986750615,25.86502270884285
85449.21875,-86.98246708434148,-148.0654908739951
86059.5703125,-89.99368413549468,43.23490171733749
86669.921875,-93.53440113971831,-80.15116556602737
87280.2734375,-89.78056033918526,158.4860591257659
87890.625,-86.57700461576738,-6.720419637518567
88500.9765625,-85.43010233645427,-177.3237907853106
89111.328125,-85.48563196431756,27.0675690354291
89721.6796875,-86.66323631393567,-133.7686869056285
90332.03125,-88.89939348642343,59.94544970833216
90942.3828125,-89.75820581137458,-103.0444749973558
91552.734375,-92.15772185966503,67.45781469573575
92163.0859375,-93.33767920734365,-147.3698987126085
92773.4375,-94.72373708701227,42.83804259043858
93383.7890625,-97.0824241033072,-106.6914648874366
93994.140625,-96.26925142434176,106.9799196192653
94604.4921875,-90.35140095256526,-60.30869275212017
95214.84375,-88.99374080801663,125.1955413450517
95825.1953125,-90.68905461967739,-46.93528154330561
96435.546875,-93.82048638094373,142.0722761350972
97045.8984375,-96.04870856854311,30.18154357452333
97656.25,-89.87746449113986,-116.3543159603701
98266.6015625,-88.49677127241515,64.39851722383126
98876.953125,-89.9734699325702,-120.3542725860962
99487.3046875,-93.26813368100139,69.41302880727665
100097.65625,-95.19970282758592,-75.6958409469234
100708.0078125,-92.69301660905887,161.8662838989264
101318.359375,-86.16546644457436,10.58940259047508
