x0000,y0000
0.,4.68036
1.,4.661295
2.,4.644748
3.,4.677103
4.,4.683162
5.,4.644465
6.,4.662185
7.,4.6188410000
8.,4.6545190000
9.,4.674519
10.,4.679818
11.,4.660231
12.,4.661077
13.,4.63478
14.,4.671197
15.,4.656257
16.,4.654954
17.,4.649525
18.,4.669307
19.,4.661468
20.,4.678797
21.,4.651588
22.,4.660274
23.,4.6040100000
24.,4.659145
25.,4.688612
26.,4.631805
27.,4.665051
28.,4.634889
29.,4.654433
30.,4.6723040000
31.,4.67567
32.,4.652109
33.,4.669242
34.,4.677581
35.,4.679752
36.,4.636279
37.,4.676321
38.,4.654585
39.,4.668417
40.,4.665572
41.,4.6655940000
42.,4.662901
43.,4.664118
44.,4.693607
45.,4.675149
46.,4.641838
47.,4.610394
48.,4.661664
49.,4.637907
50.,4.6402090000
51.,4.6836610000
52.,4.661642
53.,4.644726
54.,4.653651
55.,4.664834
56.,4.68251
57.,4.63022
58.,4.671175
59.,4.683314
60.,4.659818
61.,4.667614
62.,4.659297
63.,4.640318
64.,4.671045
65.,4.65048
66.,4.685008
67.,4.674628
68.,4.667136
69.,4.663553
70.,4.646441
71.,4.677581
72.,4.668157
73.,4.672
74.,4.679991
75.,4.689524
76.,4.681663
77.,4.666398
78.,4.657994
79.,4.675648
80.,4.648048
81.,4.683314
82.,4.656778
83.,4.624314
84.,4.652239
85.,4.664443
86.,4.654606
87.,4.682315
88.,4.659492
89.,4.667874
90.,4.664074
91.,4.644357
92.,4.66136
93.,4.651284
94.,4.651588
95.,4.658645
96.,4.636322
97.,4.66909
98.,4.642489
99.,4.6425980000
100.,4.664183
101.,4.661729
102.,4.667288
103.,4.640231
104.,4.636713
105.,4.673455
106.,4.698905
107.,4.6746490000
108.,4.641251
109.,4.630698
110.,4.674519
111.,4.6596220000
112.,4.656604
113.,4.651523
114.,4.647983
115.,4.663097
116.,4.664747
117.,4.669199
118.,4.633803
119.,4.643966
120.,4.631436
121.,4.6320440000
122.,4.664074
123.,4.629829
124.,4.662576
125.,4.668678
126.,4.64592
