x0000,y0000
0.,4831.4965
1.,4830.628
2.,4830.0865
3.,4829.7251
4.,4829.4849
5.,4829.3144
6.,4829.1997
7.,4829.1139
8.,4829.0506
9.,4829.0077
10.,4828.967
11.,4828.9412
12.,4828.9123
13.,4828.8951
14.,4828.8748
15.,4828.864
16.,4828.8555
17.,4828.8437
18.,4828.834
19.,4828.8297
20.,4828.8211
21.,4828.8115
22.,4828.8094
23.,4828.8018
24.,4828.804
25.,4828.7954
26.,4828.789
27.,4828.7858
28.,4828.7815
29.,4828.7718
30.,4828.774
31.,4828.775
32.,4828.774
33.,4828.7729
34.,4828.775
35.,4828.775
36.,4828.7718
37.,4828.7718
38.,4828.7675
39.,4828.7675
40.,4828.7643
41.,4828.7643
42.,4828.7643
43.,4828.7611
44.,4828.7654
45.,4828.76
46.,4828.7697
47.,4828.7665
48.,4828.7643
49.,4828.7707
50.,4828.7697
51.,4828.7718
52.,4828.7804
53.,4828.7836
54.,4828.7847
55.,4828.789
56.,4828.7901
57.,4828.7976
58.,4828.7965
59.,4828.8008
60.,4828.8018
61.,4828.8061
62.,4828.8072
63.,4828.8094
64.,4828.8083
65.,4828.8104
66.,4828.8147
67.,4828.819
68.,4828.8201
69.,4828.819
70.,4828.8211
71.,4828.8211
72.,4828.8222
73.,4828.8297
74.,4828.8244
75.,4828.8233
76.,4828.8276
77.,4828.8265
78.,4828.8265
79.,4828.8308
80.,4828.8329
81.,4828.8319
82.,4828.8437
83.,4828.8415
84.,4828.8437
85.,4828.8437
86.,4828.8512
87.,4828.849
88.,4828.849
89.,4828.8522
90.,4828.8501
91.,4828.8458
92.,4828.849
93.,4828.8522
94.,4828.848
95.,4828.8447
96.,4828.848
97.,4828.8415
98.,4828.8383
99.,4828.8372
100.,4828.8276
101.,4828.8329
102.,4828.8233
103.,4828.819
104.,4828.8169
105.,4828.8115
106.,4828.8061
107.,4828.7986
108.,4828.7933
109.,4828.789
110.,4828.7815
111.,4828.7783
112.,4828.7729
113.,4828.7643
114.,4828.759
115.,4828.7547
116.,4828.7493
117.,4828.7461
118.,4828.7375
119.,4828.7407
120.,4828.7397
121.,4828.7364
122.,4828.7429
123.,4828.7397
124.,4828.7429
125.,4828.7397
126.,4828.7397
127.,4828.7364
128.,4828.7397
129.,4828.745
130.,4828.7439
131.,4828.7429
132.,4828.7472
133.,4828.7461
134.,4828.7472
135.,4828.7429
136.,4828.7397
137.,4828.7461
138.,4828.7429
139.,4828.7397
140.,4828.7418
141.,4828.7429
142.,4828.7354
143.,4828.7386
144.,4828.7321
145.,4828.7343
146.,4828.73
147.,4828.7289
148.,4828.7268
149.,4828.7279
150.,4828.7246
151.,4828.7161
152.,4828.7182
153.,4828.7182
154.,4828.7118
155.,4828.7096
156.,4828.7107
157.,4828.7075
158.,4828.7075
159.,4828.7075
160.,4828.7053
161.,4828.7
162.,4828.701
163.,4828.6968
164.,4828.6968
165.,4828.6935
166.,4828.6914
167.,4828.6935
168.,4828.6935
169.,4828.6957
170.,4828.6914
171.,4828.6882
172.,4828.6914
173.,4828.6893
174.,4828.6893
175.,4828.6935
176.,4828.6925
177.,4828.6957
178.,4828.6968
179.,4828.7
180.,4828.6925
181.,4828.6989
182.,4828.7
183.,4828.7
184.,4828.6957
185.,4828.6914
186.,4828.6925
187.,4828.6871
188.,4828.6882
189.,4828.6796
190.,4828.6742
191.,4828.6678
192.,4828.6657
193.,4828.6582
194.,4828.6592
195.,4828.6571
196.,4828.656
197.,4828.6528
198.,4828.6592
199.,4828.6539
200.,4828.6624
201.,4828.6635
202.,4828.6667
203.,4828.6721
204.,4828.6775
205.,4828.685
206.,4828.6893
207.,4828.6935
208.,4828.6935
209.,4828.701
210.,4828.7086
211.,4828.715
212.,4828.7193
213.,4828.7246
