x0000,y0000
0.,246.9736626537
1.,246.9206702298
2.,246.8814783503
3.,246.8492612831
4.,246.8203646438
5.,246.7930655442
6.,246.7652594804
7.,246.7364933347
8.,246.7063139747
9.,246.674608087
10.,246.6418704835
11.,246.6079878561
12.,246.5729542104
13.,246.5377294348
14.,246.5031363214
15.,246.4702779246
16.,246.4383732158
17.,246.4074937698
18.,246.3759701100
19.,246.3436829683
20.,246.3111391469
21.,246.2797458291
22.,246.2523174469
23.,246.2301957095
24.,246.2143347581
25.,246.2035301907
26.,246.1979668992
27.,246.1960528388
28.,246.1980324900
29.,246.2022541524
30.,246.2091590643
31.,246.2179839756
32.,246.2283412935
33.,246.2401057875
34.,246.2527646505
35.,246.2666398584
36.,246.2810874294
37.,246.2963041238
38.,246.3123555207
39.,246.3285976495
40.,246.3453465234
41.,246.36254251
42.,246.3802571530
43.,246.3980909592
44.,246.4158054287
45.,246.4339610307
46.,246.4530168621
47.,246.4716194545
48.,246.4903531227
49.,246.5094026958
50.,246.5282017539
51.,246.5476982956
52.,246.5672662789
53.,246.5865718215
54.,246.6061992166
55.,246.626082876
56.,246.6457756402
57.,246.6657842856
58.,246.6857272386
59.,246.7062543551
60.,246.7264534490
61.,246.7466583925
62.,246.7665353207
63.,246.7870619803
64.,246.8073858225
65.,246.8278466717
66.,246.8484922194
67.,246.8683149347
68.,246.8888350572
69.,246.9092239078
70.,246.9296186054
71.,246.9498164567
72.,246.9702109263
73.,246.9906648964
74.,247.0110591366
75.,247.0315128766
76.,247.0517161225
77.,247.0724915473
78.,247.0925634158
79.,247.1130822709
80.,247.1332194890
81.,247.1537381144
82.,247.1743818091
83.,247.1944590755
84.,247.2146554536
85.,247.2353643741
86.,247.2556260964
87.,247.2760844198
88.,247.2966678089
89.,247.3169947597
90.,247.3371248861
91.,247.3577079291
92.,247.3781001078
93.,247.3981047179
94.,247.4183059242
95.,247.4388229387
96.,247.4587616462
97.,247.4790280827
98.,247.4992884455
99.,247.5190360807
100.,247.5389147417
101.,247.5590495984
102.,247.5789280404
103.,247.5989971097
104.,247.6188097679
105.,247.6383004543
106.,247.6584347599
107.,247.6779907978
108.,247.6978685887
109.,247.7177462709
110.,247.7374986784
111.,247.7569231651
112.,247.7770568131
113.,247.7965526104
114.,247.8162330675
115.,247.8357286545
116.,247.8549678532
117.,247.8744572722
118.,247.8938214262
119.,247.9131854769
120.,247.9321679872
121.,247.9519788278
122.,247.9710862931
123.,247.9903247748
124.,248.0094975965
125.,248.0287358747
126.,248.0479025338
127.,248.0670750516
128.,248.0862474681
129.,248.1054197834
130.,248.1241450244
131.,248.1433826953
132.,248.1621077406
133.,248.1810829904
134.,248.2001296552
135.,248.222048691
136.,248.2371261456
137.,248.2430736776
138.,248.2350820516
139.,248.2117566534
140.,248.1734130443
141.,248.1219697547
142.,248.0594108244
143.,247.9871958465
144.,247.9071778047
145.,247.8205184103
146.,247.7284211671
147.,247.6318452936
148.,247.5311182663
149.,247.4273186421
150.,247.3204461574
151.,247.2118417973
152.,247.100807932
153.,246.9878570280
154.,246.8738116204
155.,246.7581648459
156.,246.6416796972
157.,246.523789678
158.,246.4051922598
159.,246.2858873732
160.,246.1655529543
161.,246.0450237283
162.,245.923852432
163.,245.8052294474
164.,245.6914689159
165.,245.5855710921
166.,245.4883000525
167.,245.4003006152
168.,245.3206132113
169.,245.2501330425
170.,245.1874589966
171.,245.1324542933
172.,245.0863420307
173.,245.048925713
174.,245.0207603298
175.,245.0006173539
176.,244.9875664113
177.,244.9806591751
178.,244.9788041206
179.,244.9811065353
180.,244.9871846646
181.,244.9961378080
182.,245.0080375214
183.,245.0221680076
184.,245.0377955813
185.,245.0555763380
186.,245.0742517053
187.,245.0941437585
188.,245.1156342111
189.,245.1374406573
190.,245.1602132231
191.,245.1838087429
192.,245.2068971326
193.,245.2290907161
194.,245.2512245204
195.,245.2729645444
196.,245.2940722235
197.,245.3152394225
198.,245.3360903943
199.,245.3568756403
200.,245.3772134559
201.,245.3979328611
202.,245.4180795959
203.,245.4389896175
204.,245.4598398783
205.,245.4803679644
206.,245.5009615378
207.,245.5216802365
208.,245.5425956250
209.,245.5638269768
210.,245.5850582044
211.,245.6060328655
212.,245.6271982450
213.,245.6486259042
214.,245.6699162725
215.,245.6914689159
216.,245.7130214312
217.,245.7343770210
218.,245.7558636828
219.,245.7776066476
220.,245.7992182861
221.,245.8206449298
222.,245.8429599917
223.,245.8646368379
224.,245.8864447476
225.,245.908693809
226.,245.9303106302
227.,245.9523030047
228.,245.9741103878
229.,245.9962992804
230.,246.0181660301
231.,246.0404798777
232.,246.062286731
233.,246.0844094917
234.,246.1064724881
235.,246.1285949795
236.,246.150526524
237.,246.1724579359
238.,246.194836426
239.,246.2167675702
240.,246.2387641720
241.,246.2610766637
242.,246.2828166024
243.,246.3049380192
244.,246.3268684983
245.,246.3489896466
246.,246.3711106601
247.,246.3930407394
248.,246.4149706862
249.,246.4367752899
250.,246.4587049726
251.,246.4808253175
252.,246.5025639404
253.,246.5242368481
254.,246.5466787543
255.,246.5683513986
256.,246.5901550811
257.,246.6118274659
258.,246.6335593422
259.,246.6556190013
260.,246.6771002108
261.,246.6990940235
262.,246.7208253775
263.,246.7424373631
264.,246.7642996189
265.,246.7859113458
266.,246.8074514024
267.,246.8294444255
268.,246.8507934484
269.,246.8723390818
270.,246.8940753604
271.,246.9152988092
272.,246.9368440598
273.,246.9583236054
274.,246.9795466787
275.,247.0012763540
276.,247.0225647521
277.,247.0435966845
278.,247.0648848345
279.,247.0862324731
280.,247.1073296112
281.,247.1284266266
282.,247.1495175583
283.,247.1704235700
284.,247.1917050153
285.,247.2126763566
286.,247.2337667989
287.,247.2543504279
288.,247.2752498750
289.,247.2962207339
290.,247.3169947597
291.,247.3380190259
292.,247.3585424549
293.,247.3795664805
294.,247.4002148521
295.,247.4210538518
296.,247.4416364192
297.,247.4624096131
298.,247.483051553
299.,247.5035682017
300.,247.5241503013
301.,247.5446011513
302.,247.5649267143
303.,247.5852521636
304.,247.6058338003
305.,247.6264153204
306.,247.6466748608
307.,247.6671250208
308.,247.6873247306
309.,247.7078402252
310.,247.7277178527
311.,247.7482331192
312.,247.7682356904
313.,247.7881129873
314.,247.8076683269
315.,247.8278016935
316.,247.8476786645
317.,247.8674899659
318.,247.8871759987
319.,247.9069870847
320.,247.9263510653
321.,247.946036779
322.,247.9661038197
323.,247.9875117194
324.,248.0006114800
325.,248.0029119791
326.,247.9898777852
327.,247.9612464974
328.,247.9184302621
329.,247.8628887948
330.,247.7972559114
331.,247.722925775
332.,247.6410482154
333.,247.5527850354
334.,247.4592087012
335.,247.3614811763
336.,247.2604843625
337.,247.1561643358
338.,247.0490931049
339.,246.940164664
340.,246.8295696226
341.,246.7171826273
342.,246.6031287168
343.,246.4874136961
344.,246.370603846
345.,246.2528898674
346.,246.1349216295
347.,246.0186788565
348.,245.9078649131
349.,245.80433493
350.,245.7098249401
351.,245.6248366027
352.,245.5507184209
353.,245.4866361046
354.,245.4331090588
355.,245.3907699483
356.,245.3586052537
357.,245.3352613677
358.,245.3202911420
359.,245.3114700120
360.,245.3083984168
361.,245.3099968395
362.,245.3160088111
363.,245.3244482189
364.,245.3361560007
365.,245.3499035008
366.,245.3656370183
367.,245.3832909218
368.,245.4022807006
369.,245.422558621
370.,245.443790675
371.,245.4661080541
372.,245.4891290442
373.,245.5131756842
374.,245.5372877677
375.,245.5628667976
376.,245.5884456472
377.,245.6150500837
378.,245.6415887242
379.,245.6686400467
380.,245.6963292757
381.,245.7243403269
382.,245.7526672293
383.,245.7811251074
384.,245.8100896549
385.,245.8392507632
386.,245.8688588881
387.,245.8983355789
388.,245.9273647868
389.,245.9561433081
390.,245.9835739283
391.,246.0152262211
392.,246.0400326480
393.,246.0649700919
394.,246.0894601408
395.,246.1138903951
396.,246.1379269335
397.,246.1621004585
398.,246.1857550569
399.,246.2094750919
400.,246.2340953463
401.,246.2588406505
402.,246.2853089952
403.,246.3114611282
404.,246.3382510682
405.,246.3643372320
406.,246.3898448471
407.,246.4147143010
408.,246.439589547
409.,246.4640770687
410.,246.4883080453
411.,246.5124076897
412.,246.5361911751
413.,246.5598492982
414.,246.5836324728
415.,246.6071591199
416.,246.6299820875
417.,246.6532520659
418.,246.6764622749
419.,246.6991536433
420.,246.7222323962
421.,246.7448042404
422.,246.7677515419
423.,246.7903827215
424.,246.8128229825
425.,246.8356446573
426.,246.8584661886
427.,246.8808404504
428.,246.9035365031
429.,246.92629203
430.,246.9486062580
431.,246.9709143874
432.,246.9936694921
433.,247.0161084967
434.,247.0386725526
435.,247.0606641751
436.,247.0836154418
437.,247.1061135037
438.,247.1284266266
439.,247.1507992249
440.,247.1732968705
441.,247.1955440078
442.,247.218172521
443.,247.2406101383
444.,247.2629164737
445.,247.2851630619
446.,247.3075346944
447.,247.3300313689
448.,247.3520867969
449.,247.374648765
450.,247.3969542770
451.,247.4193907896
452.,247.4415708508
453.,247.4638759517
454.,247.4858649992
455.,247.5079790872
456.,247.5298367340
457.,247.5518253820
458.,247.5738794629
459.,247.5954804112
460.,247.6174686618
461.,247.6393256496
462.,247.6607354757
463.,247.6826577672
464.,247.7043891957
465.,247.7261204942
466.,247.7475953715
467.,247.7693860137
468.,247.7911169232
469.,247.8125258545
470.,247.8338750584
471.,247.8554148594
472.,247.8767578512
473.,247.8981066775
474.,247.9188772605
475.,247.940350998
476.,247.9614372145
477.,247.9825888672
478.,248.0032338104
479.,248.024194506
480.,248.0452206380
481.,248.0657996681
482.,248.0866348488
483.,248.1073387972
484.,248.1279770717
485.,248.1485556328
486.,248.1691340774
487.,248.1898375556
488.,248.2099032492
489.,248.2302906433
490.,248.250803071
491.,248.2708028744
492.,248.2909992269
493.,248.3113206131
494.,248.3317014785
495.,248.352022637
496.,248.3720278423
497.,248.3922176727
498.,248.4124729417
499.,248.4325374055
500.,248.4525421674
501.,248.4724157196
502.,248.4927956811
503.,248.5129252502
504.,248.5323515492
505.,248.5525404885
506.,248.5722883565
507.,248.5921612536
508.,248.6117778117
509.,248.6313287170
510.,248.6514575184
511.,248.6711333438
512.,248.6907494754
513.,248.7103655012
514.,248.729981421
515.,248.7494065592
516.,248.7686409188
517.,248.7910034153
518.,248.8079316084
519.,248.8164939907
520.,248.8114471331
521.,248.7913192182
522.,248.7552877079
523.,248.7062122992
524.,248.6457668828
525.,248.5752916439
526.,248.4966332985
527.,248.4111976795
528.,248.3202000100
529.,248.2238365347
530.,248.1241450244
531.,248.0208748929
532.,247.9151045924
533.,247.8065180157
534.,247.6956990240
535.,247.5833984397
536.,247.4696936145
537.,247.3542565669
538.,247.2380528292
539.,247.1206888827
540.,247.0022361529
541.,246.8829508852
542.,246.7630833965
543.,246.6425143875
544.,246.5217446193
545.,246.4033379332
546.,246.2902937756
547.,246.1843478303
548.,246.0869020207
549.,245.9978974002
550.,245.9165593652
551.,245.8434072457
552.,245.7767777218
553.,245.7146196758
554.,245.6562952222
555.,245.6009815436
556.,245.5493109480
557.,245.5013432305
558.,245.4567087684
559.,245.4152645468
560.,245.3765096859
561.,245.3406291627
562.,245.3096151267
563.,245.2840283474
564.,245.2656105261
565.,245.2537772652
566.,245.2476399388
567.,245.2469361437
568.,245.249876575
569.,245.2567236554
570.,245.2672089677
571.,245.2801932971
572.,245.2954797954
573.,245.3119173315
574.,245.3305913796
575.,245.350607276
576.,245.3718397509
577.,245.3939667205
578.,245.4173102289
579.,245.4410412503
580.,245.4657859977
581.,245.4909838378
582.,245.5168196428
583.,245.5432337601
584.,245.5703514178
585.,245.5976537504
586.,245.6255999620
587.,245.6535459584
588.,245.6816825765
589.,245.7091808706
590.,245.7356591873
591.,245.7613620532
592.,245.7867486726
593.,245.8111153666
