x0000,y0000
0.,52.7762947361
1.,52.7215926222
2.,52.6874860275
3.,52.6647229152
4.,52.6495936133
5.,52.6388544139
6.,52.6316298427
7.,52.6262255764
8.,52.6222385074
9.,52.6195363679
10.,52.6169727977
11.,52.6153477326
12.,52.6135274067
13.,52.612444029
14.,52.6111653908
15.,52.61048513
16.,52.6099497394
17.,52.6092064911
18.,52.6085955157
19.,52.6083246709
20.,52.6077829812
21.,52.6071783043
22.,52.6070460312
23.,52.6065673286
24.,52.6067059004
25.,52.6061642105
26.,52.6057610923
27.,52.6055595333
28.,52.6052886882
29.,52.6046777121
30.,52.6048162840
31.,52.6048792713
32.,52.6048162840
33.,52.6047469981
34.,52.6048792713
35.,52.6048792713
36.,52.6046777121
37.,52.6046777121
38.,52.6044068670
39.,52.6044068670
40.,52.6042053079
41.,52.6042053079
42.,52.6042053079
43.,52.6040037487
44.,52.6042745938
45.,52.6039344627
46.,52.6045454389
47.,52.6043438798
48.,52.6042053079
49.,52.6046084262
50.,52.6045454389
51.,52.6046777121
52.,52.6052194023
53.,52.6054209614
54.,52.6054902473
55.,52.6057610923
56.,52.6058303783
57.,52.6063027823
58.,52.6062334964
59.,52.6065043414
60.,52.6065673286
61.,52.6068381735
62.,52.6069074594
63.,52.6070460312
64.,52.6069767453
65.,52.6071090184
66.,52.6073798633
67.,52.6076507082
68.,52.6077199941
69.,52.6076507082
70.,52.6077829812
71.,52.6077829812
72.,52.6078522671
73.,52.6083246709
74.,52.6079908389
75.,52.6079215530
76.,52.6081923978
77.,52.608123112
78.,52.608123112
79.,52.6083939568
80.,52.6085262298
81.,52.6084632427
82.,52.6092064911
83.,52.6090679194
84.,52.6092064911
85.,52.6092064911
86.,52.6096788947
87.,52.609540323
88.,52.609540323
89.,52.6097418818
90.,52.6096096088
91.,52.6093387641
92.,52.609540323
93.,52.6097418818
94.,52.6094773358
95.,52.6092694782
96.,52.6094773358
97.,52.6090679194
98.,52.6088663605
99.,52.6087970746
100.,52.6081923978
101.,52.6085262298
102.,52.6079215530
103.,52.6076507082
104.,52.6075184351
105.,52.6071783043
106.,52.6068381735
107.,52.6063657695
108.,52.6060319373
109.,52.6057610923
110.,52.6052886882
111.,52.6050871291
112.,52.6047469981
113.,52.6042053079
114.,52.6038714755
115.,52.6036006303
116.,52.6032604991
117.,52.6030589399
118.,52.6025172494
119.,52.6027188087
120.,52.6026558214
121.,52.6024479634
122.,52.6028573807
123.,52.6026558214
124.,52.6028573807
125.,52.6026558214
126.,52.6026558214
127.,52.6024479634
128.,52.6026558214
129.,52.6029896539
130.,52.6029203679
131.,52.6028573807
132.,52.6031282259
133.,52.6030589399
134.,52.6031282259
135.,52.6028573807
136.,52.6026558214
137.,52.6030589399
138.,52.6028573807
139.,52.6026558214
140.,52.6027880947
141.,52.6028573807
142.,52.6023849761
143.,52.6025865354
144.,52.6021771181
145.,52.6023156901
146.,52.6020448448
147.,52.6019755588
148.,52.6018432855
149.,52.6019125716
150.,52.6017047135
151.,52.6011693216
152.,52.6013015949
153.,52.6013015949
154.,52.6008984762
155.,52.6007599041
156.,52.6008291901
157.,52.6006276308
158.,52.6006276308
159.,52.6006276308
160.,52.6004890587
161.,52.6001552259
162.,52.6002182133
163.,52.5999536665
164.,52.5999536665
165.,52.5997458084
166.,52.599613535
167.,52.5997458084
168.,52.5997458084
169.,52.5998843805
170.,52.599613535
171.,52.5994119756
172.,52.599613535
173.,52.5994812616
174.,52.5994812616
175.,52.5997458084
176.,52.5996828211
177.,52.5998843805
178.,52.5999536665
179.,52.6001552259
180.,52.5996828211
181.,52.6000859399
182.,52.6001552259
183.,52.6001552259
184.,52.5998843805
185.,52.599613535
186.,52.5996828211
187.,52.5993426895
188.,52.5994119756
189.,52.5988702845
190.,52.5985301528
191.,52.5981270338
192.,52.5979947604
193.,52.5975223552
194.,52.5975853426
195.,52.5974530691
196.,52.597383783
197.,52.5971822234
198.,52.5975853426
199.,52.5972515095
200.,52.5977869021
201.,52.5978561882
202.,52.5980577477
203.,52.5983978794
204.,52.5987380111
205.,52.5992104161
206.,52.5994812616
207.,52.5997458084
208.,52.5997458084
209.,52.6002182133
210.,52.6006969168
211.,52.6011000355
212.,52.6013708809
213.,52.6017047135
214.,52.6015724402
215.,52.6021141309
216.,52.6023849761
217.,52.6025172494
218.,52.6023849761
219.,52.6028573807
220.,52.6027880947
221.,52.6028573807
222.,52.6028573807
223.,52.6029896539
224.,52.6031282259
225.,52.6033927724
226.,52.6034620583
227.,52.6035313443
228.,52.6037329035
229.,52.6039344627
230.,52.6038714755
231.,52.6042053079
232.,52.6043438798
233.,52.6047469981
234.,52.6047469981
235.,52.6050178432
236.,52.6051501163
237.,52.6057610923
238.,52.6061642105
239.,52.6063657695
240.,52.6069767453
241.,52.6068381735
242.,52.6074491492
243.,52.6077829812
244.,52.6079215530
245.,52.6080538261
246.,52.608123112
247.,52.608123112
248.,52.6081923978
249.,52.6085262298
250.,52.6083939568
251.,52.6085955157
252.,52.6085262298
253.,52.6088663605
254.,52.6089356463
255.,52.6091372052
256.,52.6090679194
257.,52.6094773358
258.,52.6096096088
259.,52.6098111677
260.,52.6098111677
261.,52.6098111677
262.,52.6100127265
263.,52.6099497394
264.,52.6097418818
265.,52.6099497394
266.,52.6100127265
267.,52.6097418818
268.,52.6100820123
269.,52.6100820123
270.,52.6102835712
271.,52.6104221428
272.,52.6104221428
273.,52.6107559746
274.,52.6109575334
275.,52.6109575334
276.,52.6113669496
277.,52.6115685083
278.,52.6118393529
279.,52.6117700671
280.,52.6122424703
281.,52.6123117561
282.,52.6129164321
283.,52.6131872766
284.,52.6132565623
285.,52.6137982511
286.,52.6137289654
287.,52.6139998097
288.,52.6142013683
289.,52.614743057
290.,52.6144722127
291.,52.614743057
292.,52.6146044855
293.,52.6149446155
294.,52.6146044855
295.,52.6148753298
296.,52.6148753298
297.,52.6148753298
298.,52.6150139013
299.,52.614743057
300.,52.6149446155
301.,52.614743057
302.,52.6162988367
303.,52.63007407
304.,52.6268995355
305.,52.6262255764
306.,52.6256838896
307.,52.6252807738
308.,52.6248083723
309.,52.6243989577
310.,52.6241973997
311.,52.6237249981
312.,52.623120324
313.,52.6227801947
314.,52.6224400655
315.,52.6218353911
316.,52.6214322748
317.,52.6206197434
318.,52.6200780557
319.,52.6196056535
320.,52.6193348096
321.,52.6185222777
322.,52.6183207194
323.,52.6177160443
324.,52.6176467586
325.,52.6173066288
326.,52.6169727977
327.,52.6172436418
328.,52.6166326679
329.,52.6166326679
330.,52.6160909795
331.,52.6158894210
332.,52.6160279925
333.,52.6154863040
334.,52.6152154598
335.,52.6150831870
336.,52.6148123427
337.,52.614743057
338.,52.614743057
339.,52.6146737712
340.,52.6143399398
341.,52.6143399398
342.,52.6141320826
343.,52.6141320826
344.,52.6142013683
345.,52.6142013683
346.,52.6141320826
347.,52.613930524
348.,52.6137289654
349.,52.6136596796
350.,52.6135274067
351.,52.613458121
352.,52.6130550037
353.,52.6128534450
354.,52.6127148735
355.,52.6126518864
356.,52.6120409116
357.,52.6120409116
358.,52.6121101974
359.,52.6119086387
360.,52.6115685083
361.,52.6116377942
362.,52.6115685083
363.,52.6119086387
364.,52.6116377942
365.,52.6115685083
366.,52.6118393529
367.,52.6117700671
368.,52.6119086387
369.,52.6115685083
370.,52.6117007813
371.,52.6118393529
372.,52.6122424703
373.,52.6123117561
374.,52.6121101974
375.,52.6125133148
376.,52.612444029
377.,52.6125133148
378.,52.6127841592
379.,52.6130550037
380.,52.6130550037
381.,52.6131242895
382.,52.6135966925
383.,52.6137982511
384.,52.6139998097
385.,52.6141320826
386.,52.6140690955
387.,52.6142706541
388.,52.6143399398
389.,52.6144722127
390.,52.6146737712
391.,52.6148753298
392.,52.6146044855
393.,52.6148753298
394.,52.6152154598
395.,52.6149446155
396.,52.6152847455
397.,52.6152154598
398.,52.6156185768
399.,52.6155555898
400.,52.6156878625
401.,52.6161602652
402.,52.616229551
403.,52.6164311094
404.,52.6167019536
405.,52.6167712393
406.,52.6170420834
407.,52.6171743561
408.,52.6171743561
409.,52.6172436418
410.,52.6175144859
411.,52.6174452002
412.,52.6173759145
413.,52.6174452002
414.,52.6175144859
415.,52.6174452002
416.,52.6175774729
417.,52.6175774729
418.,52.6179176027
419.,52.6176467586
420.,52.617848317
421.,52.617848317
422.,52.6181191610
423.,52.6179868883
424.,52.6181191610
425.,52.6181191610
426.,52.6185915634
427.,52.6183900050
