Parameter:
Anzahl Messungen: 2500
Torzeit in Sekunden: 5
Zerfälle pro Torzeit,  Gemessene Anzahl an Ereignissen
40, 0.0
41, 0.0
42, 0.0
43, 0.0
44, 0.0
45, 1.0
46, 2.0
47, 2.0
48, 2.0
49, 1.0
50, 2.0
51, 6.0
52, 7.0
53, 5.0
54, 9.0
55, 13.0
56, 19.0
57, 22.0
58, 35.0
59, 34.0
60, 37.0
61, 41.0
62, 59.0
63, 49.0
64, 79.0
65, 92.0
66, 89.0
67, 99.0
68, 96.0
69, 93.0
70, 103.0
71, 123.0
72, 108.0
73, 131.0
74, 113.0
75, 108.0
76, 96.0
77, 91.0
78, 96.0
79, 94.0
80, 91.0
81, 48.0
82, 69.0
83, 55.0
84, 49.0
85, 41.0
86, 40.0
87, 31.0
88, 25.0
89, 14.0
90, 13.0
91, 13.0
92, 20.0
93, 7.0
94, 8.0
95, 9.0
96, 4.0
97, 1.0
98, 3.0
99, 0.0
100, 0.0
101, 0.0
102, 2.0
103, 0.0
104, 0.0
105, 0.0
106, 0.0
