Parameter:
Anzahl Messungen: 40
Torzeit in Sekunden: 10.0
Zeit in Sekunden,  Anzahl gemessener Zerfälle
0.0, 97.0
10.0, 77.0
20.0, 50.0
30.0, 52.0
40.0, 35.0
50.0, 30.0
60.0, 26.0
70.0, 23.0
80.0, 26.0
90.0, 14.0
100.0, 18.0
110.0, 12.0
120.0, 9.0
130.0, 16.0
140.0, 14.0
150.0, 11.0
160.0, 10.0
170.0, 5.0
180.0, 8.0
190.0, 14.0
200.0, 5.0
210.0, 9.0
220.0, 12.0
230.0, 11.0
240.0, 7.0
250.0, 5.0
260.0, 7.0
270.0, 12.0
280.0, 5.0
290.0, 5.0
300.0, 10.0
310.0, 6.0
320.0, 6.0
330.0, 7.0
340.0, 4.0
350.0, 5.0
360.0, 8.0
370.0, 4.0
380.0, 9.0
390.0, 3.0
