Parameter:
Anzahl Messungen: 50
Torzeit in Sekunden: 10.0
Zeit in Sekunden,  Anzahl gemessener Zerfälle
0.0, 0.0
10.0, 5.0
20.0, 6.0
30.0, 1.0
40.0, 2.0
50.0, 4.0
60.0, 3.0
70.0, 4.0
80.0, 3.0
90.0, 2.0
100.0, 2.0
110.0, 2.0
120.0, 2.0
130.0, 2.0
140.0, 2.0
150.0, 6.0
160.0, 0.0
170.0, 5.0
180.0, 3.0
190.0, 2.0
200.0, 4.0
210.0, 2.0
220.0, 8.0
230.0, 2.0
240.0, 4.0
250.0, 6.0
260.0, 2.0
270.0, 4.0
280.0, 8.0
290.0, 1.0
300.0, 6.0
310.0, 7.0
320.0, 3.0
330.0, 3.0
340.0, 2.0
350.0, 1.0
360.0, 1.0
370.0, 5.0
380.0, 5.0
390.0, 3.0
400.0, 4.0
410.0, 1.0
420.0, 1.0
430.0, 5.0
440.0, 2.0
450.0, 3.0
460.0, 2.0
470.0, 2.0
480.0, 7.0
490.0, 2.0
