Parameter:
Anzahl Messungen: 50
Torzeit in Sekunden: 100
Zeit in Sekunden,  Anzahl gemessener Zerfälle
0.0, 3.0
10.0, 5.0
20.0, 7.0
30.0, 5.0
40.0, 2.0
50.0, 4.0
60.0, 1.0
70.0, 2.0
80.0, 5.0
90.0, 4.0
100.0, 0.0
110.0, 5.0
120.0, 2.0
130.0, 4.0
140.0, 4.0
150.0, 3.0
160.0, 2.0
170.0, 6.0
180.0, 1.0
190.0, 3.0
200.0, 4.0
210.0, 2.0
220.0, 1.0
230.0, 3.0
240.0, 2.0
250.0, 0.0
260.0, 4.0
270.0, 2.0
280.0, 5.0
290.0, 2.0
300.0, 2.0
310.0, 6.0
320.0, 1.0
330.0, 0.0
340.0, 3.0
350.0, 6.0
360.0, 3.0
370.0, 1.0
380.0, 6.0
390.0, 3.0
400.0, 1.0
410.0, 0.0
420.0, 3.0
430.0, 2.0
440.0, 1.0
450.0, 3.0
460.0, 2.0
470.0, 5.0
480.0, 4.0
490.0, 3.0
